,Processed Title,Success,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,num_pass_sents_char_1,num_pass_sents_char_2,num_pass_sents_char_3,num_pass_sents_char_4,num_pass_sents_char_5,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_pass_sents,tot_sents,passive_ratio
Up,Up,1,0.9994,0.9996,0.9956,0.9901,0.9896,7,11,4,0,0,365,321,106,78,65,"{'neg': 0.078, 'neu': 0.761, 'pos': 0.161, 'compound': 0.9999}","{'neg': 0.073, 'neu': 0.746, 'pos': 0.182, 'compound': 0.9999}","{'neg': 0.09, 'neu': 0.728, 'pos': 0.182, 'compound': 0.9988}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.035, 'neu': 0.812, 'pos': 0.154, 'compound': 0.9896}",1095,642,212,0,65,0.078,0.073,0.09,0.0,0.035,0.161,0.182,0.182,0.0,0.154,0.9999,0.9999,0.9988,0.0,0.9896,22,935,0.023529411764705882
Coco,Coco,1,0.9988,0.9987,0.9985,0.9187,0.9271,13,8,4,1,2,434,289,120,87,93,"{'neg': 0.122, 'neu': 0.725, 'pos': 0.153, 'compound': 0.9997}","{'neg': 0.12, 'neu': 0.713, 'pos': 0.168, 'compound': 0.9987}","{'neg': 0.085, 'neu': 0.721, 'pos': 0.194, 'compound': 0.9996}","{'neg': 0.128, 'neu': 0.733, 'pos': 0.139, 'compound': 0.9551}","{'neg': 0.083, 'neu': 0.818, 'pos': 0.099, 'compound': 0.9271}",868,289,240,174,93,0.122,0.12,0.085,0.128,0.083,0.153,0.168,0.194,0.139,0.099,0.9997,0.9987,0.9996,0.9551,0.9271,28,1023,0.02737047898338221
G.I. Joe: The Rise of Cobra,G.I.-Joe-The-Rise-of-Cobra,1,0.9742,0.9781,-0.9898,0.996,-0.9976,14,18,15,15,4,379,323,234,213,197,"{'neg': 0.086, 'neu': 0.819, 'pos': 0.095, 'compound': 0.9965}","{'neg': 0.097, 'neu': 0.796, 'pos': 0.107, 'compound': 0.9971}","{'neg': 0.1, 'neu': 0.818, 'pos': 0.082, 'compound': -0.9987}","{'neg': 0.107, 'neu': 0.751, 'pos': 0.142, 'compound': 0.9995}","{'neg': 0.103, 'neu': 0.826, 'pos': 0.071, 'compound': -0.9997}",1137,969,702,639,591,0.086,0.097,0.1,0.107,0.103,0.095,0.107,0.082,0.142,0.071,0.9965,0.9971,-0.9987,0.9995,-0.9997,66,1346,0.04903417533432392
Wild Wild West,Wild-Wild-West,1,0.9983,0.9986,0.9992,0.9815,0.8319,7,12,11,6,4,357,301,174,76,70,"{'neg': 0.109, 'neu': 0.749, 'pos': 0.143, 'compound': 0.9998}","{'neg': 0.099, 'neu': 0.766, 'pos': 0.135, 'compound': 0.9998}","{'neg': 0.112, 'neu': 0.702, 'pos': 0.185, 'compound': 0.9999}","{'neg': 0.116, 'neu': 0.727, 'pos': 0.157, 'compound': 0.9815}","{'neg': 0.078, 'neu': 0.821, 'pos': 0.101, 'compound': 0.9593}",1071,903,522,76,210,0.109,0.099,0.112,0.116,0.078,0.143,0.135,0.185,0.157,0.101,0.9998,0.9998,0.9999,0.9815,0.9593,40,978,0.0408997955010225
Snow White and the Huntsman,Snow-White-and-the-Huntsman,1,-0.9886,0.9988,-0.9984,-0.8231,0.8207,15,13,17,6,3,415,332,283,143,109,"{'neg': 0.121, 'neu': 0.767, 'pos': 0.112, 'compound': -0.9992}","{'neg': 0.088, 'neu': 0.791, 'pos': 0.122, 'compound': 0.9999}","{'neg': 0.126, 'neu': 0.782, 'pos': 0.092, 'compound': -0.9998}","{'neg': 0.122, 'neu': 0.759, 'pos': 0.118, 'compound': -0.9837}","{'neg': 0.113, 'neu': 0.769, 'pos': 0.118, 'compound': 0.9815}",1660,996,849,572,327,0.121,0.088,0.126,0.122,0.113,0.112,0.122,0.092,0.118,0.118,-0.9992,0.9999,-0.9998,-0.9837,0.9815,54,1282,0.0421216848673947
How to Train Your Dragon,How-to-Train-Your-Dragon,1,-1.0,-0.9988,-0.998,-0.9754,-0.6392,22,10,9,6,2,958,381,331,221,69,"{'neg': 0.178, 'neu': 0.724, 'pos': 0.098, 'compound': -1.0}","{'neg': 0.132, 'neu': 0.779, 'pos': 0.088, 'compound': -0.9999}","{'neg': 0.121, 'neu': 0.787, 'pos': 0.092, 'compound': -0.9999}","{'neg': 0.125, 'neu': 0.768, 'pos': 0.107, 'compound': -0.9983}","{'neg': 0.107, 'neu': 0.798, 'pos': 0.094, 'compound': -0.8589}",3832,1143,1324,884,276,0.178,0.132,0.121,0.125,0.107,0.098,0.088,0.092,0.107,0.094,-1.0,-0.9999,-0.9999,-0.9983,-0.8589,49,1960,0.025
Interstellar,Interstellar,1,0.998,0.9966,-0.9796,0.8882,0.9802,24,23,9,6,10,508,377,121,135,154,"{'neg': 0.074, 'neu': 0.821, 'pos': 0.106, 'compound': 0.9998}","{'neg': 0.08, 'neu': 0.811, 'pos': 0.11, 'compound': 0.9998}","{'neg': 0.098, 'neu': 0.827, 'pos': 0.075, 'compound': -0.9975}","{'neg': 0.072, 'neu': 0.833, 'pos': 0.095, 'compound': 0.9899}","{'neg': 0.069, 'neu': 0.841, 'pos': 0.09, 'compound': 0.9802}",1524,1508,363,540,154,0.074,0.08,0.098,0.072,0.069,0.106,0.11,0.075,0.095,0.09,0.9998,0.9998,-0.9975,0.9899,0.9802,72,1295,0.055598455598455596
Beauty and the Beast,Beauty-and-the-Beast,1,0.9994,0.9998,-0.9685,0.9987,0.999,5,4,4,5,5,177,140,100,128,133,"{'neg': 0.092, 'neu': 0.715, 'pos': 0.194, 'compound': 0.9999}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.143, 'neu': 0.741, 'pos': 0.117, 'compound': -0.9685}","{'neg': 0.131, 'neu': 0.663, 'pos': 0.206, 'compound': 0.9999}","{'neg': 0.075, 'neu': 0.709, 'pos': 0.216, 'compound': 0.9998}",354,0,100,384,266,0.092,0.0,0.143,0.131,0.075,0.194,0.0,0.117,0.206,0.216,0.9999,0.0,-0.9685,0.9999,0.9998,23,678,0.03392330383480826
Shrek the Third,Shrek-the-Third,1,0.9992,0.9992,0.9955,0.9852,0.998,8,5,7,3,2,304,156,149,140,65,"{'neg': 0.065, 'neu': 0.791, 'pos': 0.144, 'compound': 0.9998}","{'neg': 0.052, 'neu': 0.755, 'pos': 0.193, 'compound': 0.9999}","{'neg': 0.094, 'neu': 0.762, 'pos': 0.144, 'compound': 0.9955}","{'neg': 0.114, 'neu': 0.741, 'pos': 0.145, 'compound': 0.9852}","{'neg': 0.023, 'neu': 0.792, 'pos': 0.185, 'compound': 0.998}",608,468,149,140,65,0.065,0.052,0.094,0.114,0.023,0.144,0.193,0.144,0.145,0.185,0.9998,0.9999,0.9955,0.9852,0.998,25,814,0.030712530712530713
Inception,Inception,1,0.9992,-0.9789,0.9932,-0.9219,0.5787,25,8,9,4,4,681,203,173,119,110,"{'neg': 0.09, 'neu': 0.793, 'pos': 0.117, 'compound': 0.9999}","{'neg': 0.099, 'neu': 0.815, 'pos': 0.086, 'compound': -0.9984}","{'neg': 0.102, 'neu': 0.761, 'pos': 0.137, 'compound': 0.9995}","{'neg': 0.078, 'neu': 0.861, 'pos': 0.062, 'compound': -0.992}","{'neg': 0.116, 'neu': 0.758, 'pos': 0.127, 'compound': 0.7605}",2724,812,692,476,220,0.09,0.099,0.102,0.078,0.116,0.117,0.086,0.137,0.062,0.127,0.9999,-0.9984,0.9995,-0.992,0.7605,50,1286,0.038880248833592534
