,Processed Title,Success,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_pass_sents,tot_sents,passive_ratio,tot_coref_sents,pct_coref_sents,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5
Capote,Capote,1,0.9992,-0.9958,0.9895,0.9952,0.5543,"{'neg': 0.102, 'neu': 0.762, 'pos': 0.136, 'compound': 0.9999}","{'neg': 0.131, 'neu': 0.765, 'pos': 0.104, 'compound': -0.9989}","{'neg': 0.12, 'neu': 0.715, 'pos': 0.165, 'compound': 0.9994}","{'neg': 0.058, 'neu': 0.729, 'pos': 0.212, 'compound': 0.9995}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.102,0.131,0.12,0.058,0.0,0.136,0.104,0.165,0.212,0.0,0.9999,-0.9989,0.9994,0.9995,0.0,43,896,0.04799107142857143,74,0.08258928571428571,475,178,121,67,55,41,7,19,7,0
Logan's Run,Logan's-Run,1,0.9953,-0.9946,0.9963,0.9861,0.9739,"{'neg': 0.088, 'neu': 0.807, 'pos': 0.105, 'compound': 0.9994}","{'neg': 0.129, 'neu': 0.766, 'pos': 0.104, 'compound': -0.9983}","{'neg': 0.047, 'neu': 0.802, 'pos': 0.151, 'compound': 0.999}","{'neg': 0.066, 'neu': 0.802, 'pos': 0.131, 'compound': 0.9982}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.088,0.129,0.047,0.066,0.0,0.105,0.104,0.151,0.131,0.0,0.9994,-0.9983,0.999,0.9982,0.0,21,813,0.025830258302583026,43,0.05289052890528905,393,221,76,70,53,20,11,3,9,0
Fargo,Fargo,1,0.9993,0.999,0.9947,0.946,-0.895,"{'neg': 0.059, 'neu': 0.804, 'pos': 0.137, 'compound': 0.9993}","{'neg': 0.077, 'neu': 0.771, 'pos': 0.152, 'compound': 0.9998}","{'neg': 0.079, 'neu': 0.789, 'pos': 0.131, 'compound': 0.9947}","{'neg': 0.091, 'neu': 0.781, 'pos': 0.128, 'compound': 0.9853}","{'neg': 0.104, 'neu': 0.789, 'pos': 0.108, 'compound': -0.895}",0.059,0.077,0.079,0.091,0.104,0.137,0.152,0.131,0.128,0.108,0.9993,0.9998,0.9947,0.9853,-0.895,31,837,0.037037037037037035,42,0.05017921146953405,293,213,170,82,79,1,17,14,5,5
Silver Bullet,Silver-Bullet,1,0.9967,0.9713,0.978,0.8813,-0.7222,"{'neg': 0.102, 'neu': 0.734, 'pos': 0.164, 'compound': 0.9996}","{'neg': 0.118, 'neu': 0.749, 'pos': 0.133, 'compound': 0.9958}","{'neg': 0.092, 'neu': 0.794, 'pos': 0.114, 'compound': 0.996}","{'neg': 0.14, 'neu': 0.701, 'pos': 0.158, 'compound': 0.954}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.102,0.118,0.092,0.14,0.0,0.164,0.133,0.114,0.158,0.0,0.9996,0.9958,0.996,0.954,0.0,16,655,0.024427480916030534,103,0.15725190839694655,193,197,156,66,43,24,38,29,12,0
A Serious Man,A-Serious-Man,1,0.9998,-0.9843,0.9928,0.9546,0.9837,"{'neg': 0.076, 'neu': 0.805, 'pos': 0.119, 'compound': 1.0}","{'neg': 0.095, 'neu': 0.837, 'pos': 0.069, 'compound': -0.9843}","{'neg': 0.056, 'neu': 0.823, 'pos': 0.121, 'compound': 0.9993}","{'neg': 0.04, 'neu': 0.879, 'pos': 0.081, 'compound': 0.9932}","{'neg': 0.048, 'neu': 0.829, 'pos': 0.123, 'compound': 0.9957}",0.076,0.095,0.056,0.04,0.048,0.119,0.069,0.121,0.081,0.123,1.0,-0.9843,0.9993,0.9932,0.9957,26,1349,0.01927353595255745,148,0.10971089696071164,967,118,129,65,70,95,2,22,10,19
Get Low,Get-Low,1,0.9875,0.9994,0.9877,-0.6321,0.9992,"{'neg': 0.101, 'neu': 0.792, 'pos': 0.107, 'compound': 0.9991}","{'neg': 0.1, 'neu': 0.75, 'pos': 0.15, 'compound': 1.0}","{'neg': 0.114, 'neu': 0.752, 'pos': 0.134, 'compound': 0.9992}","{'neg': 0.106, 'neu': 0.788, 'pos': 0.106, 'compound': -0.8501}","{'neg': 0.058, 'neu': 0.765, 'pos': 0.177, 'compound': 0.9999}",0.101,0.1,0.114,0.106,0.058,0.107,0.15,0.134,0.106,0.177,0.9991,1.0,0.9992,-0.8501,0.9999,40,1367,0.029261155815654718,227,0.16605705925384054,484,356,236,165,126,79,57,45,17,29
Hesher,Hesher,0,-0.9986,-0.9997,0.9491,0.9791,0.9995,"{'neg': 0.186, 'neu': 0.711, 'pos': 0.103, 'compound': -0.9999}","{'neg': 0.186, 'neu': 0.709, 'pos': 0.106, 'compound': -0.9999}","{'neg': 0.049, 'neu': 0.875, 'pos': 0.077, 'compound': 0.9926}","{'neg': 0.141, 'neu': 0.699, 'pos': 0.16, 'compound': 0.994}","{'neg': 0.052, 'neu': 0.72, 'pos': 0.228, 'compound': 0.9999}",0.186,0.186,0.049,0.141,0.052,0.103,0.106,0.077,0.16,0.228,-0.9999,-0.9999,0.9926,0.994,0.9999,28,993,0.028197381671701913,49,0.04934541792547835,347,275,124,134,113,16,11,7,3,12
The Boondock Saints,"Boondock-Saints,-The",0,-0.997,-0.9968,-0.9998,0.8531,-0.921,"{'neg': 0.123, 'neu': 0.767, 'pos': 0.11, 'compound': -0.997}","{'neg': 0.14, 'neu': 0.756, 'pos': 0.104, 'compound': -0.9992}","{'neg': 0.238, 'neu': 0.651, 'pos': 0.111, 'compound': -1.0}","{'neg': 0.126, 'neu': 0.707, 'pos': 0.167, 'compound': 0.8531}","{'neg': 0.119, 'neu': 0.785, 'pos': 0.096, 'compound': -0.921}",0.123,0.14,0.238,0.126,0.119,0.11,0.104,0.111,0.167,0.096,-0.997,-0.9992,-1.0,0.8531,-0.921,46,1099,0.04185623293903549,13,0.011828935395814377,363,213,297,172,54,1,6,2,1,3
Shame,Shame,1,0.9827,0.9998,-0.9878,0.9933,0.9892,"{'neg': 0.113, 'neu': 0.743, 'pos': 0.143, 'compound': 0.9977}","{'neg': 0.061, 'neu': 0.697, 'pos': 0.242, 'compound': 0.9998}","{'neg': 0.186, 'neu': 0.661, 'pos': 0.152, 'compound': -0.9878}","{'neg': 0.079, 'neu': 0.722, 'pos': 0.198, 'compound': 0.9933}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.113,0.061,0.186,0.079,0.0,0.143,0.242,0.152,0.198,0.0,0.9977,0.9998,-0.9878,0.9933,0.0,13,885,0.014689265536723164,22,0.024858757062146894,303,279,192,84,27,7,4,7,4,0
The Damned United,"Damned-United,-The",0,1.0,0.9905,0.9985,-0.9841,0.9451,"{'neg': 0.095, 'neu': 0.723, 'pos': 0.182, 'compound': 1.0}","{'neg': 0.104, 'neu': 0.757, 'pos': 0.139, 'compound': 0.9905}","{'neg': 0.074, 'neu': 0.735, 'pos': 0.191, 'compound': 0.9996}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.072, 'neu': 0.818, 'pos': 0.11, 'compound': 0.9926}",0.095,0.104,0.074,0.0,0.072,0.182,0.139,0.191,0.0,0.11,1.0,0.9905,0.9996,0.0,0.9926,55,1151,0.04778453518679409,33,0.028670721112076455,806,190,74,49,32,18,3,4,0,8
