,Processed Title,Success,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_pass_sents,tot_sents,passive_ratio,tot_coref_sents,pct_coref_sents,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5
Judge Dredd,Judge-Dredd,1,-0.9965,0.9801,-0.9805,-0.9969,-0.9661,"{'neg': 0.133, 'neu': 0.761, 'pos': 0.106, 'compound': -0.9997}","{'neg': 0.063, 'neu': 0.841, 'pos': 0.096, 'compound': 0.9985}","{'neg': 0.126, 'neu': 0.762, 'pos': 0.111, 'compound': -0.9985}","{'neg': 0.163, 'neu': 0.735, 'pos': 0.102, 'compound': -0.9992}","{'neg': 0.128, 'neu': 0.747, 'pos': 0.124, 'compound': -0.9952}",0.133,0.063,0.126,0.163,0.128,0.106,0.096,0.111,0.102,0.124,-0.9997,0.9985,-0.9985,-0.9992,-0.9952,38,922,0.04121475054229935,130,0.14099783080260303,282,160,206,115,159,36,25,18,28,23
Bruce Almighty,Bruce-Almighty,1,1.0,0.9993,0.9953,0.9934,0.9911,"{'neg': 0.077, 'neu': 0.704, 'pos': 0.22, 'compound': 1.0}","{'neg': 0.079, 'neu': 0.739, 'pos': 0.182, 'compound': 0.9999}","{'neg': 0.039, 'neu': 0.797, 'pos': 0.164, 'compound': 0.9953}","{'neg': 0.082, 'neu': 0.683, 'pos': 0.235, 'compound': 0.9987}","{'neg': 0.097, 'neu': 0.714, 'pos': 0.189, 'compound': 0.9979}",0.077,0.079,0.039,0.082,0.097,0.22,0.182,0.164,0.235,0.189,1.0,0.9999,0.9953,0.9987,0.9979,29,947,0.030623020063357972,77,0.08130939809926083,535,234,75,47,56,36,24,4,2,11
Mission: Impossible,Mission-Impossible,1,-0.9957,-0.7291,-0.7773,-0.9846,0.9957,"{'neg': 0.094, 'neu': 0.832, 'pos': 0.075, 'compound': -0.9995}","{'neg': 0.122, 'neu': 0.764, 'pos': 0.114, 'compound': -0.9339}","{'neg': 0.089, 'neu': 0.814, 'pos': 0.097, 'compound': -0.9337}","{'neg': 0.112, 'neu': 0.83, 'pos': 0.058, 'compound': -0.9981}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.094,0.122,0.089,0.112,0.0,0.075,0.114,0.097,0.058,0.0,-0.9995,-0.9339,-0.9337,-0.9981,0.0,30,767,0.03911342894393742,88,0.11473272490221642,329,163,130,79,66,26,31,16,15,0
Something's Gotta Give,Something's-Gotta-Give,1,0.9999,0.9999,0.9987,0.9998,0.9966,"{'neg': 0.097, 'neu': 0.719, 'pos': 0.184, 'compound': 1.0}","{'neg': 0.09, 'neu': 0.729, 'pos': 0.181, 'compound': 1.0}","{'neg': 0.089, 'neu': 0.77, 'pos': 0.141, 'compound': 0.9999}","{'neg': 0.066, 'neu': 0.685, 'pos': 0.249, 'compound': 1.0}","{'neg': 0.084, 'neu': 0.692, 'pos': 0.224, 'compound': 0.9966}",0.097,0.09,0.089,0.066,0.084,0.184,0.181,0.141,0.249,0.224,1.0,1.0,0.9999,1.0,0.9966,48,1639,0.02928615009151922,68,0.04148871262965223,618,564,234,175,48,14,28,12,12,2
Eagle Eye,Eagle-Eye,1,-0.9997,-0.9928,-0.9933,-0.9984,-0.9869,"{'neg': 0.139, 'neu': 0.763, 'pos': 0.099, 'compound': -0.9999}","{'neg': 0.113, 'neu': 0.791, 'pos': 0.096, 'compound': -0.9928}","{'neg': 0.078, 'neu': 0.877, 'pos': 0.044, 'compound': -0.9992}","{'neg': 0.13, 'neu': 0.812, 'pos': 0.058, 'compound': -0.9998}","{'neg': 0.089, 'neu': 0.845, 'pos': 0.067, 'compound': -0.9983}",0.139,0.113,0.078,0.13,0.089,0.099,0.096,0.044,0.058,0.067,-0.9999,-0.9928,-0.9992,-0.9998,-0.9983,50,1072,0.04664179104477612,86,0.08022388059701492,462,250,147,121,92,34,19,13,8,12
Cold Mountain,Cold-Mountain,1,0.9591,-0.9914,0.9641,0.9735,0.9839,"{'neg': 0.116, 'neu': 0.753, 'pos': 0.131, 'compound': 0.9874}","{'neg': 0.099, 'neu': 0.836, 'pos': 0.065, 'compound': -0.9914}","{'neg': 0.077, 'neu': 0.824, 'pos': 0.099, 'compound': 0.996}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.116,0.099,0.077,0.0,0.0,0.131,0.065,0.099,0.0,0.0,0.9874,-0.9914,0.996,0.0,0.0,35,995,0.035175879396984924,33,0.033165829145728645,280,236,252,115,112,19,7,7,0,0
The Book of Eli,"Book-of-Eli,-The",1,0.9997,0.9972,0.9981,-0.9972,0.9803,"{'neg': 0.092, 'neu': 0.752, 'pos': 0.156, 'compound': 0.9999}","{'neg': 0.086, 'neu': 0.765, 'pos': 0.149, 'compound': 0.9972}","{'neg': 0.096, 'neu': 0.771, 'pos': 0.133, 'compound': 0.9999}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.088, 'neu': 0.77, 'pos': 0.142, 'compound': 0.9803}",0.092,0.086,0.096,0.0,0.088,0.156,0.149,0.133,0.0,0.142,0.9999,0.9972,0.9999,0.0,0.9803,58,1217,0.047658175842235,38,0.031224322103533278,475,240,332,89,81,6,11,18,0,3
The Haunting,"Haunting,-The",1,0.9315,0.9807,0.8043,-0.8814,-0.7383,"{'neg': 0.118, 'neu': 0.756, 'pos': 0.126, 'compound': -0.8582}","{'neg': 0.105, 'neu': 0.785, 'pos': 0.11, 'compound': 0.9979}","{'neg': 0.107, 'neu': 0.779, 'pos': 0.114, 'compound': 0.9665}","{'neg': 0.115, 'neu': 0.772, 'pos': 0.113, 'compound': -0.954}","{'neg': 0.091, 'neu': 0.832, 'pos': 0.077, 'compound': -0.845}",0.118,0.105,0.107,0.115,0.091,0.126,0.11,0.114,0.113,0.077,-0.8582,0.9979,0.9665,-0.954,-0.845,33,1042,0.03166986564299424,117,0.11228406909788867,384,291,216,114,37,26,49,37,2,3
The Day the Earth Stood Still,"Day-the-Earth-Stood-Still,-The",1,0.9958,0.9987,0.9959,0.9942,0.9897,"{'neg': 0.101, 'neu': 0.772, 'pos': 0.126, 'compound': 0.9997}","{'neg': 0.057, 'neu': 0.79, 'pos': 0.153, 'compound': 0.9998}","{'neg': 0.071, 'neu': 0.78, 'pos': 0.15, 'compound': 0.9959}","{'neg': 0.079, 'neu': 0.759, 'pos': 0.162, 'compound': 0.9942}","{'neg': 0.054, 'neu': 0.811, 'pos': 0.136, 'compound': 0.9897}",0.101,0.057,0.071,0.079,0.054,0.126,0.153,0.15,0.162,0.136,0.9997,0.9998,0.9959,0.9942,0.9897,25,592,0.04222972972972973,52,0.08783783783783784,245,133,109,60,45,28,15,4,3,2
Swordfish,Swordfish,1,0.9983,-0.9988,-0.9648,0.9774,-0.8136,"{'neg': 0.111, 'neu': 0.741, 'pos': 0.148, 'compound': 0.9996}","{'neg': 0.172, 'neu': 0.703, 'pos': 0.125, 'compound': -0.9999}","{'neg': 0.112, 'neu': 0.798, 'pos': 0.09, 'compound': -0.9955}","{'neg': 0.117, 'neu': 0.718, 'pos': 0.165, 'compound': 0.9939}","{'neg': 0.107, 'neu': 0.848, 'pos': 0.045, 'compound': -0.8136}",0.111,0.172,0.112,0.117,0.107,0.148,0.125,0.09,0.165,0.045,0.9996,-0.9999,-0.9955,0.9939,-0.8136,24,850,0.02823529411764706,88,0.10352941176470588,380,255,111,88,16,44,10,25,5,4
The Manchurian Candidate,"Manchurian-Candidate,-The",1,0.9986,0.9964,0.3732,0.98,-0.2261,"{'neg': 0.114, 'neu': 0.731, 'pos': 0.154, 'compound': 0.9998}","{'neg': 0.151, 'neu': 0.71, 'pos': 0.139, 'compound': -0.9522}","{'neg': 0.126, 'neu': 0.742, 'pos': 0.131, 'compound': 0.4889}","{'neg': 0.095, 'neu': 0.777, 'pos': 0.128, 'compound': 0.9946}","{'neg': 0.115, 'neu': 0.784, 'pos': 0.101, 'compound': -0.3975}",0.114,0.151,0.126,0.095,0.115,0.154,0.139,0.131,0.128,0.101,0.9998,-0.9522,0.4889,0.9946,-0.3975,36,841,0.04280618311533888,43,0.05112960760998811,337,229,129,105,41,15,3,17,3,5
The Time Machine,"Time-Machine,-The",1,0.9991,-0.9911,0.8933,0.9384,0.8025,"{'neg': 0.086, 'neu': 0.779, 'pos': 0.135, 'compound': 0.9998}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.086,0.0,0.0,0.0,0.0,0.135,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,0.0,19,534,0.035580524344569285,11,0.020599250936329586,310,86,47,73,18,11,0,0,0,0
Mighty Joe Young,Mighty-Joe-Young,0,0.9988,0.9991,0.9706,0.9898,-0.742,"{'neg': 0.113, 'neu': 0.714, 'pos': 0.173, 'compound': 0.9999}","{'neg': 0.087, 'neu': 0.757, 'pos': 0.156, 'compound': 0.9998}","{'neg': 0.091, 'neu': 0.795, 'pos': 0.114, 'compound': 0.9951}","{'neg': 0.094, 'neu': 0.741, 'pos': 0.165, 'compound': 0.9898}","{'neg': 0.079, 'neu': 0.861, 'pos': 0.059, 'compound': -0.9575}",0.113,0.087,0.091,0.094,0.079,0.173,0.156,0.114,0.165,0.059,0.9999,0.9998,0.9951,0.9898,-0.9575,25,797,0.03136762860727729,49,0.06148055207026349,326,238,98,92,43,9,12,5,4,19
Little Nicky,Little-Nicky,0,0.9989,-0.9756,0.9956,-0.9386,-0.9969,"{'neg': 0.128, 'neu': 0.689, 'pos': 0.183, 'compound': 0.9999}","{'neg': 0.167, 'neu': 0.682, 'pos': 0.151, 'compound': -0.9929}","{'neg': 0.102, 'neu': 0.7, 'pos': 0.198, 'compound': 0.9989}","{'neg': 0.151, 'neu': 0.709, 'pos': 0.14, 'compound': -0.9797}","{'neg': 0.17, 'neu': 0.746, 'pos': 0.084, 'compound': -0.9992}",0.128,0.167,0.102,0.151,0.17,0.183,0.151,0.198,0.14,0.084,0.9999,-0.9929,0.9989,-0.9797,-0.9992,22,675,0.03259259259259259,78,0.11555555555555555,313,99,86,95,82,49,8,8,11,2
Surrogates,Surrogates,1,-0.9989,-0.9927,0.993,-0.9953,-0.8792,"{'neg': 0.11, 'neu': 0.801, 'pos': 0.089, 'compound': -0.9999}","{'neg': 0.08, 'neu': 0.861, 'pos': 0.059, 'compound': -0.9995}","{'neg': 0.111, 'neu': 0.725, 'pos': 0.164, 'compound': 0.993}","{'neg': 0.153, 'neu': 0.767, 'pos': 0.081, 'compound': -0.9988}","{'neg': 0.076, 'neu': 0.871, 'pos': 0.053, 'compound': -0.9603}",0.11,0.08,0.111,0.153,0.076,0.089,0.059,0.164,0.081,0.053,-0.9999,-0.9995,0.993,-0.9988,-0.9603,37,974,0.037987679671457907,134,0.1375770020533881,541,211,86,75,61,62,37,9,18,8
Thirteen Days,Thirteen-Days,0,0.7705,-0.9557,-0.8618,-0.9945,-0.9752,"{'neg': 0.118, 'neu': 0.757, 'pos': 0.125, 'compound': 0.7705}","{'neg': 0.102, 'neu': 0.791, 'pos': 0.107, 'compound': -0.9862}","{'neg': 0.127, 'neu': 0.75, 'pos': 0.124, 'compound': -0.8618}","{'neg': 0.131, 'neu': 0.786, 'pos': 0.083, 'compound': -0.9985}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.118,0.102,0.127,0.131,0.0,0.125,0.107,0.124,0.083,0.0,0.7705,-0.9862,-0.8618,-0.9985,0.0,60,1023,0.05865102639296188,21,0.020527859237536656,400,298,175,95,55,3,13,2,3,0
Nine,Nine,0,0.9991,0.9962,0.9767,-0.9527,0.9986,"{'neg': 0.109, 'neu': 0.725, 'pos': 0.166, 'compound': 1.0}","{'neg': 0.033, 'neu': 0.802, 'pos': 0.165, 'compound': 0.9996}","{'neg': 0.135, 'neu': 0.697, 'pos': 0.168, 'compound': 0.9932}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.078, 'neu': 0.708, 'pos': 0.214, 'compound': 0.9996}",0.109,0.033,0.135,0.0,0.078,0.166,0.165,0.168,0.0,0.214,1.0,0.9996,0.9932,0.0,0.9996,18,759,0.023715415019762844,71,0.09354413702239789,383,119,84,54,119,32,18,6,0,15
The Postman,"Postman,-The",0,-0.9691,-0.9944,0.999,-0.9608,0.7902,"{'neg': 0.128, 'neu': 0.749, 'pos': 0.122, 'compound': -0.9965}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.056, 'neu': 0.779, 'pos': 0.165, 'compound': 0.9999}","{'neg': 0.111, 'neu': 0.79, 'pos': 0.099, 'compound': -0.9608}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.128,0.0,0.056,0.111,0.0,0.122,0.0,0.165,0.099,0.0,-0.9965,0.0,0.9999,-0.9608,0.0,51,1226,0.041598694942903754,45,0.0367047308319739,615,301,144,107,59,34,0,7,4,0
Despicable Me 2,Despicable-Me-2,1,0.9995,0.9981,0.9978,-0.8689,-0.9682,"{'neg': 0.129, 'neu': 0.684, 'pos': 0.187, 'compound': 0.9999}","{'neg': 0.08, 'neu': 0.757, 'pos': 0.162, 'compound': 0.9995}","{'neg': 0.046, 'neu': 0.721, 'pos': 0.232, 'compound': 0.9994}","{'neg': 0.158, 'neu': 0.699, 'pos': 0.143, 'compound': -0.8689}","{'neg': 0.179, 'neu': 0.681, 'pos': 0.14, 'compound': -0.9682}",0.129,0.08,0.046,0.158,0.179,0.187,0.162,0.232,0.143,0.14,0.9999,0.9995,0.9994,-0.8689,-0.9682,13,847,0.015348288075560802,57,0.06729634002361275,471,197,80,49,50,23,15,11,4,4
Wanted,Wanted,1,-0.9995,-0.9995,-0.9984,0.9296,-0.9774,"{'neg': 0.109, 'neu': 0.811, 'pos': 0.08, 'compound': -0.9999}","{'neg': 0.109, 'neu': 0.83, 'pos': 0.061, 'compound': -0.9999}","{'neg': 0.117, 'neu': 0.803, 'pos': 0.08, 'compound': -0.9996}","{'neg': 0.058, 'neu': 0.862, 'pos': 0.079, 'compound': 0.9782}","{'neg': 0.124, 'neu': 0.798, 'pos': 0.078, 'compound': -0.9774}",0.109,0.109,0.117,0.058,0.124,0.08,0.061,0.08,0.079,0.078,-0.9999,-0.9999,-0.9996,0.9782,-0.9774,64,1158,0.055267702936096716,193,0.16666666666666666,518,319,231,59,31,39,76,45,25,8
The Rock,"Rock,-The",1,-0.9995,0.9836,-0.9923,0.8112,-0.9941,"{'neg': 0.164, 'neu': 0.76, 'pos': 0.077, 'compound': -0.9999}","{'neg': 0.066, 'neu': 0.835, 'pos': 0.099, 'compound': 0.998}","{'neg': 0.143, 'neu': 0.736, 'pos': 0.121, 'compound': -0.9923}","{'neg': 0.095, 'neu': 0.78, 'pos': 0.125, 'compound': 0.9217}","{'neg': 0.149, 'neu': 0.77, 'pos': 0.08, 'compound': -0.9993}",0.164,0.066,0.143,0.095,0.149,0.077,0.099,0.121,0.125,0.08,-0.9999,0.998,-0.9923,0.9217,-0.9993,29,831,0.03489771359807461,62,0.07460890493381468,294,221,183,64,69,17,18,6,12,9
Constantine,Constantine,1,-0.9986,-0.9963,-0.8521,0.9042,-0.8547,"{'neg': 0.134, 'neu': 0.753, 'pos': 0.114, 'compound': -0.9999}","{'neg': 0.118, 'neu': 0.813, 'pos': 0.069, 'compound': -0.9963}","{'neg': 0.133, 'neu': 0.738, 'pos': 0.129, 'compound': -0.8521}","{'neg': 0.17, 'neu': 0.638, 'pos': 0.192, 'compound': 0.9042}","{'neg': 0.139, 'neu': 0.762, 'pos': 0.099, 'compound': -0.8547}",0.134,0.118,0.133,0.17,0.139,0.114,0.069,0.129,0.192,0.099,-0.9999,-0.9963,-0.8521,0.9042,-0.8547,39,702,0.05555555555555555,39,0.05555555555555555,419,164,48,46,25,18,11,2,2,6
Life,Life,0,0.9969,0.9985,-0.9953,-0.9157,0.967,"{'neg': 0.115, 'neu': 0.752, 'pos': 0.133, 'compound': 0.9998}","{'neg': 0.115, 'neu': 0.746, 'pos': 0.139, 'compound': 0.9996}","{'neg': 0.131, 'neu': 0.796, 'pos': 0.072, 'compound': -0.9988}","{'neg': 0.1, 'neu': 0.809, 'pos': 0.092, 'compound': -0.9862}","{'neg': 0.085, 'neu': 0.767, 'pos': 0.147, 'compound': 0.967}",0.115,0.115,0.131,0.1,0.085,0.133,0.139,0.072,0.092,0.147,0.9998,0.9996,-0.9988,-0.9862,0.967,42,1268,0.033123028391167195,87,0.06861198738170347,550,515,99,59,45,34,34,3,9,7
Spanglish,Spanglish,0,0.9997,0.9993,0.9986,0.9902,0.9976,"{'neg': 0.082, 'neu': 0.764, 'pos': 0.153, 'compound': 0.9999}","{'neg': 0.095, 'neu': 0.76, 'pos': 0.144, 'compound': 0.9999}","{'neg': 0.111, 'neu': 0.709, 'pos': 0.18, 'compound': 0.9996}","{'neg': 0.088, 'neu': 0.77, 'pos': 0.142, 'compound': 0.9988}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.082,0.095,0.111,0.088,0.0,0.153,0.144,0.18,0.142,0.0,0.9999,0.9999,0.9996,0.9988,0.0,34,1028,0.033073929961089495,51,0.04961089494163424,363,309,196,81,79,13,25,3,10,0
Hostage,Hostage,1,-0.9895,-0.9989,-0.8682,-0.4438,-0.9646,"{'neg': 0.089, 'neu': 0.837, 'pos': 0.074, 'compound': -0.9987}","{'neg': 0.151, 'neu': 0.77, 'pos': 0.08, 'compound': -0.9997}","{'neg': 0.089, 'neu': 0.842, 'pos': 0.069, 'compound': -0.947}","{'neg': 0.065, 'neu': 0.861, 'pos': 0.074, 'compound': -0.4438}","{'neg': 0.122, 'neu': 0.779, 'pos': 0.099, 'compound': -0.9646}",0.089,0.151,0.089,0.065,0.122,0.074,0.08,0.069,0.074,0.099,-0.9987,-0.9997,-0.947,-0.4438,-0.9646,20,935,0.0213903743315508,66,0.07058823529411765,470,242,87,66,70,23,23,13,3,4
Soldier,Soldier,0,0.9946,-0.9788,-0.9635,0.9827,-0.733,"{'neg': 0.079, 'neu': 0.787, 'pos': 0.134, 'compound': 0.9946}","{'neg': 0.1, 'neu': 0.827, 'pos': 0.073, 'compound': -0.9788}","{'neg': 0.118, 'neu': 0.812, 'pos': 0.07, 'compound': -0.9635}","{'neg': 0.079, 'neu': 0.778, 'pos': 0.143, 'compound': 0.9827}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.079,0.1,0.118,0.079,0.0,0.134,0.073,0.07,0.143,0.0,0.9946,-0.9788,-0.9635,0.9827,0.0,17,472,0.036016949152542374,11,0.023305084745762712,129,115,76,84,68,3,3,2,3,0
Monkeybone,Monkeybone,0,-0.9942,0.9987,0.948,0.9601,0.9927,"{'neg': 0.149, 'neu': 0.715, 'pos': 0.135, 'compound': -0.9996}","{'neg': 0.07, 'neu': 0.761, 'pos': 0.169, 'compound': 0.9998}","{'neg': 0.155, 'neu': 0.669, 'pos': 0.176, 'compound': 0.9833}","{'neg': 0.135, 'neu': 0.701, 'pos': 0.165, 'compound': 0.986}","{'neg': 0.096, 'neu': 0.708, 'pos': 0.196, 'compound': 0.998}",0.149,0.07,0.155,0.135,0.096,0.135,0.169,0.176,0.165,0.196,-0.9996,0.9998,0.9833,0.986,0.998,21,703,0.029871977240398292,78,0.11095305832147938,257,175,134,86,51,24,25,17,9,3
Unbreakable,Unbreakable,1,0.9737,0.9979,-0.9168,-0.8799,0.5661,"{'neg': 0.11, 'neu': 0.765, 'pos': 0.125, 'compound': 0.9966}","{'neg': 0.089, 'neu': 0.786, 'pos': 0.125, 'compound': 0.9979}","{'neg': 0.11, 'neu': 0.788, 'pos': 0.102, 'compound': -0.988}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.077, 'neu': 0.826, 'pos': 0.096, 'compound': 0.5661}",0.11,0.089,0.11,0.0,0.077,0.125,0.125,0.102,0.0,0.096,0.9966,0.9979,-0.988,0.0,0.5661,51,804,0.06343283582089553,54,0.06716417910447761,314,238,154,69,29,27,10,16,0,1
Sphere,Sphere,0,-0.9707,-0.9975,-0.9631,0.981,0.9455,"{'neg': 0.111, 'neu': 0.78, 'pos': 0.109, 'compound': -0.998}","{'neg': 0.117, 'neu': 0.779, 'pos': 0.104, 'compound': -0.9998}","{'neg': 0.099, 'neu': 0.795, 'pos': 0.106, 'compound': -0.9973}","{'neg': 0.081, 'neu': 0.819, 'pos': 0.1, 'compound': 0.9975}","{'neg': 0.082, 'neu': 0.805, 'pos': 0.113, 'compound': 0.992}",0.111,0.117,0.099,0.081,0.082,0.109,0.104,0.106,0.1,0.113,-0.998,-0.9998,-0.9973,0.9975,0.992,46,1988,0.023138832997987926,336,0.16901408450704225,637,531,361,300,159,115,119,52,36,14
Funny People,Funny-People,0,1.0,0.9996,0.9997,0.9805,-0.9927,"{'neg': 0.098, 'neu': 0.7, 'pos': 0.202, 'compound': 1.0}","{'neg': 0.126, 'neu': 0.712, 'pos': 0.162, 'compound': 1.0}","{'neg': 0.099, 'neu': 0.714, 'pos': 0.187, 'compound': 1.0}","{'neg': 0.13, 'neu': 0.725, 'pos': 0.145, 'compound': 0.9974}","{'neg': 0.183, 'neu': 0.682, 'pos': 0.136, 'compound': -0.9981}",0.098,0.126,0.099,0.13,0.183,0.202,0.162,0.187,0.145,0.136,1.0,1.0,1.0,0.9974,-0.9981,62,2375,0.026105263157894736,181,0.07621052631578948,980,836,287,177,95,70,53,34,20,4
The Kingdom,"Kingdom,-The",1,0.9921,0.9554,0.9951,-0.9871,-0.8807,"{'neg': 0.109, 'neu': 0.759, 'pos': 0.132, 'compound': 0.9921}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.07, 'neu': 0.788, 'pos': 0.143, 'compound': 0.9951}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.121, 'neu': 0.77, 'pos': 0.109, 'compound': -0.8807}",0.109,0.0,0.07,0.0,0.121,0.132,0.0,0.143,0.0,0.109,0.9921,0.0,0.9951,0.0,-0.8807,29,622,0.04662379421221865,9,0.014469453376205787,308,104,75,89,46,3,0,3,0,3
Braveheart,Braveheart,1,-0.9857,-0.9055,0.9889,-0.991,-0.9965,"{'neg': 0.144, 'neu': 0.734, 'pos': 0.122, 'compound': -0.9989}","{'neg': 0.166, 'neu': 0.684, 'pos': 0.149, 'compound': -0.9827}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.224, 'neu': 0.613, 'pos': 0.163, 'compound': -0.9989}","{'neg': 0.176, 'neu': 0.742, 'pos': 0.082, 'compound': -0.9965}",0.144,0.166,0.0,0.224,0.176,0.122,0.149,0.0,0.163,0.082,-0.9989,-0.9827,0.0,-0.9989,-0.9965,19,592,0.03209459459459459,32,0.05405405405405406,235,127,87,73,70,14,7,0,9,2
Signs,Signs,1,0.9988,0.9959,-0.9925,-0.9844,-0.0772,"{'neg': 0.079, 'neu': 0.801, 'pos': 0.12, 'compound': 0.9997}","{'neg': 0.062, 'neu': 0.817, 'pos': 0.122, 'compound': 0.9989}","{'neg': 0.127, 'neu': 0.806, 'pos': 0.067, 'compound': -0.9925}","{'neg': 0.089, 'neu': 0.86, 'pos': 0.052, 'compound': -0.9959}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.079,0.062,0.127,0.089,0.0,0.12,0.122,0.067,0.052,0.0,0.9997,0.9989,-0.9925,-0.9959,0.0,36,802,0.04488778054862843,40,0.04987531172069826,374,187,114,106,21,28,7,3,2,0
Runaway Bride,Runaway-Bride,1,0.9998,0.9998,0.9935,0.9971,0.9962,"{'neg': 0.092, 'neu': 0.737, 'pos': 0.171, 'compound': 1.0}","{'neg': 0.086, 'neu': 0.738, 'pos': 0.176, 'compound': 1.0}","{'neg': 0.048, 'neu': 0.825, 'pos': 0.127, 'compound': 0.9992}","{'neg': 0.064, 'neu': 0.775, 'pos': 0.161, 'compound': 0.9992}","{'neg': 0.084, 'neu': 0.705, 'pos': 0.211, 'compound': 0.9962}",0.092,0.086,0.048,0.064,0.084,0.171,0.176,0.127,0.161,0.211,1.0,1.0,0.9992,0.9992,0.9962,34,1287,0.02641802641802642,108,0.08391608391608392,513,489,122,110,53,37,27,21,15,8
xXx,xXx,1,-0.9997,-0.9901,0.9962,0.9962,0.7658,"{'neg': 0.156, 'neu': 0.726, 'pos': 0.118, 'compound': -1.0}","{'neg': 0.138, 'neu': 0.75, 'pos': 0.112, 'compound': -0.9973}","{'neg': 0.123, 'neu': 0.711, 'pos': 0.166, 'compound': 0.9991}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.156,0.138,0.123,0.0,0.0,0.118,0.112,0.166,0.0,0.0,-1.0,-0.9973,0.9991,0.0,0.0,37,1067,0.03467666354264293,36,0.033739456419868794,546,153,180,150,38,19,7,10,0,0
Inglourious Basterds,Inglourious-Basterds,1,0.9199,0.9991,0.9995,-0.496,0.997,"{'neg': 0.106, 'neu': 0.785, 'pos': 0.109, 'compound': 0.9199}","{'neg': 0.089, 'neu': 0.776, 'pos': 0.135, 'compound': 0.9991}","{'neg': 0.065, 'neu': 0.768, 'pos': 0.167, 'compound': 0.9995}","{'neg': 0.121, 'neu': 0.753, 'pos': 0.126, 'compound': -0.6668}","{'neg': 0.071, 'neu': 0.79, 'pos': 0.139, 'compound': 0.9992}",0.106,0.089,0.065,0.121,0.071,0.109,0.135,0.167,0.126,0.139,0.9199,0.9991,0.9995,-0.6668,0.9992,48,838,0.057279236276849645,45,0.05369928400954654,224,233,170,119,92,11,8,1,16,9
