,Processed Title,Success,main_char_rel_diag_length,stdvs_unique_words_above_mean,FK_read_level_mean_char,stdvs_n_stop_words_above_mean,stdvs_n_curse_words_above_mean,stdvs_n_mentions_others_above_mean
Thor,Thor,1,30.086456222837434,2.074656826229991,3.2,1.8516993475851655,-0.6867540735236607,1.7711508165145282
X-Men Origins: Wolverine,X-Men-Origins-Wolverine,1,30.478430713655648,1.5516315049677718,3.4,0.2917535968107556,-0.6187864454528892,0.6503669790911281
Angels & Demons,Angels-&-Demons,1,43.61139285616382,0.2538140152518922,4.4,0.18417113124010662,-0.7320658255708418,-0.9473461508528681
How to Train Your Dragon 2,How-to-Train-Your-Dragon-2,1,46.71033893477642,-0.8377170899910004,1.4,-0.17891969006083366,-0.7320658255708418,0.022410077272343506
Rise of the Guardians,Rise-of-the-Guardians,1,28.786045276113448,-0.3016973508092228,1.4,0.3052014050070867,-0.6867540735236607,0.10984711423445274
Star Trek,Star-Trek,1,31.99878123095673,0.04103042181912591,4.6,-0.09823284088284694,-0.5734746934057082,-0.4704168583322722
The Last Samurai,"Last-Samurai,-The",1,40.228964854695384,0.4519788885251554,4.2,1.2465479787502651,-0.5508188173821177,-0.2875939628660438
Spider-Man,Spider-Man,1,23.80018216212429,-0.7548776757538166,2.4,-0.4882192785764494,-0.5508188173821177,0.11779593577646268
Watchmen,Watchmen,1,29.83095615425251,1.9560827627140225,3.2,2.093759895119126,-0.32426005714621264,1.1431939146957437
The Croods,"Croods,-The",1,36.10475266731329,-0.95304254902708,0.2,-0.36718900480946937,-0.7320658255708418,-0.08887342431579552
The Revenant,"Revenant,-The",1,39.89585524931622,-1.2145552096581895,1.0,-1.429565852319628,-0.1883248010046696,-0.6214444676304609
Miami Vice,Miami-Vice,1,37.820346880662704,0.4016255190868672,2.6,0.6010531853263713,-0.25629242907544114,-0.7883697200126695
War of the Worlds,War-of-the-Worlds,1,52.952297208177605,-1.3428750866138273,1.8,-1.1202662638040122,-0.5734746934057082,-0.12066871048383525
The Bourne Ultimatum,"Bourne-Ultimatum,-The",1,39.08759685944476,-1.2714057880562568,2.0,-1.2681921539636545,-0.6867540735236607,-0.48631450141629207
Kung Fu Panda,Kung-Fu-Panda,1,43.187900930370866,-1.2811516014959254,1.6,-1.2681921539636545,-0.6640981975000702,-0.3988774644541828
