,Processed Title,Success,FK_read_level_char_1,FK_read_level_char_2,FK_read_level_char_3,FK_read_level_char_4,FK_read_level_char_5,n_stop_words_char_1,n_stop_words_char_2,n_stop_words_char_3,n_stop_words_char_4,n_stop_words_char_5,n_curse_words_char_1,n_curse_words_char_2,n_curse_words_char_3,n_curse_words_char_4,n_curse_words_char_5,n_mentions_others_char_1,n_mentions_others_char_2,n_mentions_others_char_3,n_mentions_others_char_4,n_mentions_others_char_5,main_char_rel_diag_length,stdvs_unique_words_above_mean
Point Break,Point-Break,1,1,2,2,1,3,128,125,125,86,71,25,3,16,4,1,26,11,6,12,9,35.02138327680282,0.08001367557780065
The Fifth Element,"Fifth-Element,-The",1,1,2,3,3,3,136,112,113,106,83,8,0,3,0,1,27,22,5,15,10,38.045934369835756,-0.34880211576762143
Rise of the Planet of the Apes,Rise-of-the-Planet-of-the-Apes,1,2,2,3,3,2,163,109,95,94,84,2,0,5,0,0,110,31,38,16,14,52.40599855984471,-0.17337747385358512
The Secret Life of Walter Mitty,"Secret-Life-of-Walter-Mitty,-The",1,2,3,0,4,2,163,89,67,84,81,12,2,0,2,3,32,4,7,1,13,67.90495118957152,-0.7759936048730988
Men in Black,Men-in-Black,1,3,2,2,2,4,138,121,105,85,92,5,6,5,0,1,33,14,7,4,14,42.508289689795156,0.09625669797724845
Rush Hour 2,Rush-Hour-2,1,1,1,3,2,2,151,122,71,81,64,25,7,0,2,4,41,17,6,8,0,59.12966693341428,-0.24159816793126593
Sherlock Holmes,Sherlock-Holmes,1,4,3,3,4,3,162,139,107,103,64,0,2,0,0,0,69,32,5,9,5,54.633713738943726,0.9392695605085896
What Lies Beneath,What-Lies-Beneath,1,1,1,2,0,3,139,130,96,36,40,6,1,2,1,2,42,26,8,0,1,49.39048894842599,-0.9904015005458098
The Departed,"Departed,-The",1,2,1,2,2,4,141,132,132,104,94,35,54,38,1,11,49,18,9,12,12,31.156053566548238,0.5543099296416766
Charlie's Angels,Charlie's-Angels,1,1,2,2,3,2,125,119,94,111,82,4,2,1,2,0,20,21,25,11,8,29.77497255762897,-0.7678720936733748
Tropic Thunder,Tropic-Thunder,1,3,2,3,3,3,152,121,133,125,117,16,2,20,13,8,58,31,55,24,24,34.21458021838612,1.387576978733349
The Girl with the Dragon Tattoo,"Girl-with-the-Dragon-Tattoo,-The",1,2,4,2,3,2,110,122,74,90,75,4,0,0,0,0,3,10,2,1,1,26.07709750566893,-1.3136376462948212
Valkyrie,Valkyrie,1,3,4,3,4,5,143,110,102,84,78,1,0,1,0,0,41,20,15,9,13,47.650557327976685,-0.6947784928758597
Hollow Man,Hollow-Man,1,2,2,2,2,1,130,123,133,106,95,11,12,7,3,3,58,14,8,4,5,32.34259004674182,0.06214635093840806
Mission to Mars,Mission-to-Mars,1,2,2,2,3,2,150,124,131,107,102,0,3,0,0,2,61,23,14,25,10,34.21225943361709,0.8369385193920684
Conan the Barbarian,Conan-the-Barbarian,0,2,2,2,1,3,154,139,127,72,87,0,1,0,0,0,22,23,13,6,5,34.086559446664204,-0.2351009589714868
The Three Musketeers,"Three-Musketeers,-The",1,1,2,2,3,3,118,124,119,128,110,1,2,2,0,0,9,7,11,5,15,22.338551859099802,-0.11652689545551781
Hannibal,Hannibal,1,2,3,2,3,3,152,89,130,108,85,1,0,0,0,0,24,6,25,11,12,40.18131626827279,-0.28545432840977497
Cast Away,Cast-Away,1,1,1,1,1,1,153,87,84,83,65,24,2,1,6,11,30,7,3,6,0,60.363452436865494,-0.7532533735138718
Happy Feet,Happy-Feet,1,1,1,2,1,3,148,90,60,58,59,0,0,0,0,0,26,4,2,0,1,57.133251148716795,-1.5605315867664278
Ocean's Eleven,Ocean's-Eleven,1,2,2,2,3,3,152,138,123,85,84,2,2,1,1,2,30,29,9,11,6,35.268847795163595,0.10437820917697235
It's Complicated,It's-Complicated,1,1,2,2,1,2,163,137,118,68,67,0,2,0,0,0,50,35,8,5,10,46.40992321323096,-0.049930503617781806
Meet Joe Black,Meet-Joe-Black,0,3,2,1,4,3,161,148,131,143,109,9,0,0,6,1,94,37,34,44,10,36.70949861426053,1.6425924304046797
Collateral Damage,Collateral-Damage,0,1,2,2,2,2,108,76,80,82,89,7,0,2,5,8,13,0,4,3,1,36.81347300190984,-1.2356711387774717
Judge Dredd,Judge-Dredd,1,2,3,2,2,3,136,120,122,104,117,2,1,3,5,1,50,37,37,33,32,27.929820226107374,0.5039565602033884
Bruce Almighty,Bruce-Almighty,1,2,1,2,1,1,149,123,79,62,68,9,1,0,0,2,73,31,5,2,18,57.85240236107288,-0.3016973508092228
Mission: Impossible,Mission-Impossible,1,2,2,4,1,2,135,118,111,66,81,3,3,2,2,0,61,39,23,20,0,40.17717561229807,-0.418647112085247
Something's Gotta Give,Something's-Gotta-Give,1,2,1,2,2,4,158,141,125,113,76,5,6,3,1,2,41,64,32,28,5,38.04805284747749,1.0935782733033437
Eagle Eye,Eagle-Eye,1,3,3,5,5,6,180,137,127,124,104,17,3,6,3,4,126,62,27,40,32,40.94781582938565,1.8634975350371699
Cold Mountain,Cold-Mountain,1,2,1,2,2,2,130,123,124,90,93,0,2,4,5,3,33,11,14,2,2,26.287655050206734,0.11574832485658582
The Book of Eli,"Book-of-Eli,-The",1,1,0,2,1,1,153,115,154,87,84,1,2,6,7,0,8,11,20,0,3,39.10215695739438,-0.3455535112877319
The Haunting,"Haunting,-The",1,1,3,1,3,3,140,134,120,96,72,1,1,3,3,0,26,59,38,2,3,32.73232840626372,-0.44626025016430826
The Day the Earth Stood Still,"Day-the-Earth-Stood-Still,-The",1,4,2,2,5,7,136,100,81,79,69,0,0,0,0,0,39,30,5,6,4,45.67609177274605,-0.9709098736664724
Swordfish,Swordfish,1,3,2,2,1,5,134,118,91,80,43,12,20,7,7,1,59,22,34,7,9,47.08729590619354,-0.4819948994430934
The Manchurian Candidate,"Manchurian-Candidate,-The",1,3,3,7,2,7,136,128,118,97,86,12,1,3,0,2,37,5,26,5,9,34.457202505219215,0.4958350490036645
The Time Machine,"Time-Machine,-The",1,2,5,0,2,3,143,99,57,78,35,0,0,0,0,0,12,0,0,0,0,54.25909920291942,-1.3412507843738823
Mighty Joe Young,Mighty-Joe-Young,0,1,1,3,2,5,126,120,93,95,65,2,2,0,1,0,67,43,16,14,43,33.33978852782835,-0.6817840749563014
Little Nicky,Little-Nicky,0,2,3,1,2,2,127,94,80,100,78,3,0,1,2,4,65,13,8,17,2,44.95109701295268,-0.8913190639091781
Surrogates,Surrogates,1,3,4,2,4,4,165,125,94,98,79,5,0,0,1,0,111,58,14,25,11,54.27654427438864,0.8742974709107983
Thirteen Days,Thirteen-Days,0,3,4,4,5,7,142,146,121,100,74,16,3,4,1,0,16,29,10,3,1,36.323223930203575,0.721613060355989
Nine,Nine,0,2,3,1,2,2,141,82,76,59,93,3,0,0,0,1,45,25,6,0,18,53.18146784276784,-1.2194281163780238
The Postman,"Postman,-The",0,2,2,1,1,2,165,139,107,86,66,7,2,0,2,2,38,0,14,4,0,49.20503654697754,0.03128460837945723
Despicable Me 2,Despicable-Me-2,1,1,1,1,4,3,135,103,60,56,71,0,0,0,0,0,74,24,13,5,5,52.57431601948379,-1.144710213340564
Wanted,Wanted,1,3,3,4,4,5,178,143,140,90,67,19,8,1,0,6,48,80,51,27,8,44.5878581379345,1.5873661542465571
