,Processed Title,Success,FK_read_level_char_1,FK_read_level_char_2,FK_read_level_char_3,FK_read_level_char_4,FK_read_level_char_5,n_stop_words_char_1,n_stop_words_char_2,n_stop_words_char_3,n_stop_words_char_4,n_stop_words_char_5,n_curse_words_char_1,n_curse_words_char_2,n_curse_words_char_3,n_curse_words_char_4,n_curse_words_char_5,n_mentions_others_char_1,n_mentions_others_char_2,n_mentions_others_char_3,n_mentions_others_char_4,n_mentions_others_char_5,main_char_rel_diag_length,stdvs_unique_words_above_mean
Up in the Air,Up-in-the-Air,1,2,3,2,2,2,160,130,115,89,72,17,4,3,2,5,32,5,5,14,14,53.426366423512,0.7622206163546085
Looper,Looper,1,2,1,2,2,2,155,131,128,81,99,12,10,13,4,10,78,78,39,36,16,39.00879142111873,1.1488045494614663
Midnight in Paris,Midnight-in-Paris,1,4,3,3,4,5,155,112,107,101,92,0,0,0,0,0,48,32,4,2,6,49.51837739332118,0.39187970564719854
Blow,Blow,1,2,2,2,1,2,158,124,85,63,74,45,8,27,3,0,76,49,20,16,24,61.46116041957016,-0.37154234712684836
Sicario,Sicario,1,1,2,2,1,4,130,143,113,105,63,7,0,4,13,0,15,27,19,8,10,25.02057613168725,-0.47387338824336955
Black Rain,Black-Rain,1,1,2,2,1,2,140,99,105,76,79,14,1,7,4,0,65,57,31,14,27,43.63410301953818,-0.29682444408938846
John Wick,John-Wick,1,0,3,0,1,3,98,78,40,42,51,2,8,14,0,0,29,15,2,0,6,45.28100775193799,-2.1046728371479295
Hanna,Hanna,1,3,2,3,2,3,148,133,122,113,85,2,10,0,4,4,72,96,49,39,41,35.55324238128985,1.0627165307443929
Larry Crowne,Larry-Crowne,1,1,2,2,2,2,125,140,98,71,89,1,9,0,1,2,13,11,6,0,0,31.927177300311627,0.17584750773454272
Carrie,Carrie,1,1,0,1,1,1,90,89,86,101,74,1,3,0,3,18,10,8,12,30,22,25.138563206139413,-1.6320008853239982
Get on Up,Get-on-Up,1,1,1,0,1,3,158,97,86,64,71,4,2,0,2,1,30,21,7,15,8,66.14040980853207,-0.4819948994430934
Virtuosity,Virtuosity,0,3,3,3,3,5,135,136,103,78,87,14,3,2,3,0,21,32,15,1,4,36.60012519997217,-0.3682937426469588
The Next Three Days,"Next-Three-Days,-The",1,1,1,4,1,3,135,118,74,48,46,3,5,0,0,1,30,13,0,2,6,51.04166666666666,-1.4370846165306244
Fright Night,Fright-Night,1,2,1,2,2,2,177,117,148,126,111,20,0,12,12,1,268,109,94,66,106,42.65827274339422,1.610106385605784
Eight Legged Freaks,Eight-Legged-Freaks,1,1,1,2,0,2,112,109,104,70,89,0,1,0,3,0,22,18,10,6,10,26.928389290267745,-1.1333400976609505
Antitrust,Antitrust,0,2,3,2,2,6,148,130,107,94,66,1,0,0,0,1,44,16,22,12,8,48.82426644132988,-0.08079224617673264
The Imaginarium of Doctor Parnassus,"Imaginarium-of-Doctor-Parnassus,-The",1,1,2,2,2,2,106,133,100,101,94,5,4,2,1,1,25,16,13,18,10,18.884833592310194,-0.5859502427995594
Machine Gun Preacher,Machine-Gun-Preacher,0,1,2,1,1,1,142,117,93,76,60,24,1,0,10,0,21,10,24,7,2,55.67402376910017,-0.5664586159202221
12 Monkeys,12-Monkeys,1,1,2,3,1,5,135,135,127,57,64,5,2,5,2,2,4,12,2,0,4,36.961468838893204,-0.2935758396094989
Confessions of a Dangerous Mind,Confessions-of-a-Dangerous-Mind,1,2,2,3,4,4,164,113,102,77,86,64,19,6,0,2,44,3,6,9,3,55.93892422174729,0.14661006741553664
Mumford,Mumford,0,3,2,3,3,3,164,125,127,103,96,5,2,3,8,2,64,8,5,1,7,48.714711482738636,0.40812272804664634
The Jacket,"Jacket,-The",0,1,1,2,2,2,143,115,113,108,101,6,2,0,0,3,44,12,10,12,5,45.29434269045,-0.19611770521281205
Indiana Jones and the Temple of Doom,Indiana-Jones-and-the-Temple-of-Doom,1,2,1,1,5,3,132,118,62,83,46,0,2,0,0,0,33,5,9,5,0,47.47677803965063,-0.7175187242350867
Straight Outta Compton,Straight-Outta-Compton,1,1,2,2,3,1,124,132,121,121,99,81,72,45,12,16,37,54,32,21,15,25.921653774822456,0.39675261236703285
Die Hard,Die-Hard,1,2,3,2,2,3,126,119,98,83,78,36,4,6,0,2,43,24,1,1,5,35.54606160695053,-0.39915548520590965
30 Minutes or Less,30-Minutes-or-Less,1,1,2,2,1,2,161,148,147,86,72,107,87,60,6,3,24,26,17,15,12,38.108238041276046,1.2641300084975458
Blade Runner,Blade-Runner,1,2,2,2,4,4,132,110,87,78,71,7,2,1,0,3,16,17,7,9,11,46.263877028181035,-0.8393413922309452
We Own the Night,We-Own-the-Night,1,2,3,3,2,3,142,100,105,89,91,48,10,1,8,1,0,0,0,0,0,46.779025168677734,-0.418647112085247
Kundun,Kundun,0,3,5,1,3,4,138,80,76,71,58,0,0,0,0,1,24,13,7,5,3,57.96513593123762,-1.2129309074182448
How to Lose Friends & Alienate People,How-to-Lose-Friends-&-Alienate-People,0,2,3,3,3,4,180,139,120,108,86,17,9,2,14,1,69,43,50,17,20,53.728316804689356,1.5467585982479375
Knocked Up,Knocked-Up,1,1,1,1,1,1,153,132,137,112,94,100,39,32,4,4,43,30,14,12,11,43.45298030150469,1.08545676210362
Anonymous,Anonymous,0,3,2,4,2,4,123,118,134,103,97,1,0,0,0,0,34,23,19,9,20,25.57566884067616,-0.0921623618563461
Limitless,Limitless,1,3,1,4,2,2,166,92,95,91,81,18,10,2,5,3,50,12,9,14,11,62.93752828129575,0.15148297413537098
Lake Placid,Lake-Placid,1,2,1,2,3,3,129,118,122,122,65,9,4,2,6,2,20,8,16,7,12,30.885734432964405,-0.17987468281336425
Dark City,Dark-City,1,1,2,3,2,5,109,122,109,69,48,4,1,1,1,0,4,12,2,11,21,25.356193009118535,-1.0618707991033802
Case 39,Case-39,1,1,1,3,3,2,133,116,94,96,87,2,0,1,0,0,29,26,11,1,0,46.98605795516676,-0.6866569816761359
Suspect Zero,Suspect-Zero,0,2,2,1,3,2,127,144,81,94,44,14,7,0,6,0,12,7,5,9,2,32.021433850702145,-0.6720382615166328
Shakespeare in Love,Shakespeare-in-Love,1,2,2,2,3,3,139,114,97,95,88,0,0,0,0,0,32,55,35,26,15,42.39821216565402,-0.4495088546441978
Pineapple Express,Pineapple-Express,1,1,1,1,1,2,145,154,106,63,69,59,132,46,2,8,74,51,20,12,7,40.511030065824585,0.011792981500119861
Philadelphia,Philadelphia,1,3,4,4,4,4,153,155,104,80,86,11,11,1,0,0,20,48,5,10,8,34.41213365263998,0.5348183027623392
Final Destination 2,Final-Destination-2,1,2,2,2,2,2,126,100,117,68,70,5,3,8,1,8,35,26,23,4,3,37.746442094268176,-0.9303023176678529
Legion,Legion,1,2,1,1,1,1,108,110,87,89,104,10,3,4,22,0,17,21,10,1,11,27.88922155688623,-1.1560803290201773
Blood and Wine,Blood-and-Wine,0,2,2,1,2,2,150,133,128,124,108,15,5,5,2,7,100,70,32,43,18,35.98639086450586,1.9560827627140223
The Help,"Help,-The",1,2,2,2,3,2,135,124,120,127,123,2,0,3,0,0,52,45,53,53,28,22.85391945524508,0.9782528142672643
Gran Torino,Gran-Torino,1,2,1,2,2,1,168,113,114,105,89,25,9,4,0,1,229,59,37,30,24,63.98390014177001,1.2218981502589814
Schindler's List,Schindler's-List,1,2,2,3,1,3,161,104,82,56,39,0,2,2,0,0,30,4,7,0,0,63.67013633336839,-1.100854052862055
Freddy vs. Jason,Freddy-vs.-Jason,1,1,3,2,1,2,123,124,111,89,91,5,3,12,4,3,69,25,21,13,2,31.80994638565354,-0.6687896570367432
No Country for Old Men,No-Country-for-Old-Men,1,1,1,2,1,3,101,123,115,69,77,3,2,0,0,1,6,22,8,4,3,23.19980829905348,-0.8166011608717183
No Strings Attached,No-Strings-Attached,1,2,2,1,2,2,165,159,58,85,64,38,30,1,2,3,69,45,5,8,7,49.4129001125945,1.3762068630537356
Tombstone,Tombstone,1,1,2,1,3,1,170,129,100,82,91,4,3,3,0,0,67,34,23,13,25,50.33416022180067,-0.2269794477717629
Scarface,Scarface,1,2,3,2,4,2,115,69,33,44,36,29,3,0,3,2,16,14,2,0,4,63.49695219762592,-1.8366629675570405
August: Osage County,August-Osage-County,1,2,3,2,3,3,154,158,109,106,107,44,17,1,1,2,40,55,7,9,11,31.472959610557538,0.788209452193725
Cradle 2 the Grave,Cradle-2-the-Grave,1,1,0,2,3,3,111,69,98,81,75,20,0,1,16,0,34,6,9,4,9,36.28691983122363,-1.2421683477372507
The Shawshank Redemption,"Shawshank-Redemption,-The",1,3,2,2,2,2,162,139,111,80,87,23,1,5,22,6,92,30,12,4,5,49.050851591398725,1.1601746651410798
The Losers,"Losers,-The",1,1,4,2,2,2,126,118,121,91,107,4,9,9,7,0,59,26,18,22,11,24.48927477017365,0.22132797045299657
The Ruins,"Ruins,-The",0,3,2,2,2,4,185,146,141,140,70,12,4,4,14,0,314,166,148,112,53,45.6721002824159,2.756863767006799
The Box,"Box,-The",1,2,3,4,3,3,147,133,106,91,69,1,5,0,0,0,73,65,28,20,7,39.00519978106185,0.5981660901201856
Warrior,Warrior,0,1,1,4,1,4,123,91,105,105,81,4,3,0,6,0,28,27,37,8,18,27.07266109463467,-0.39753118296596485
Deception,Deception,0,3,3,4,4,6,185,140,83,76,69,6,10,0,0,0,61,63,14,4,13,64.50613780466051,1.335599307055116
Scream 2,Scream-2,1,2,2,3,2,2,93,91,101,90,90,6,9,1,3,4,33,25,9,3,13,23.728813559322035,-0.9319266199077977
I Still Know What You Did Last Summer,I-Still-Know-What-You-Did-Last-Summer,1,1,1,2,1,1,117,110,93,104,71,1,1,2,2,2,58,34,7,28,6,30.233674775928296,-0.7694963959133196
The Men Who Stare at Goats,"Men-Who-Stare-at-Goats,-The",1,3,2,3,4,3,151,128,90,82,73,13,4,1,3,0,6,31,1,1,0,46.208784047960386,0.26193552645161605
Bad Boys,Bad-Boys,1,1,2,1,2,2,140,141,131,80,81,25,35,15,13,7,48,29,23,12,14,35.46678807629637,0.41299563476648066
Final Destination,Final-Destination,1,1,2,1,3,3,116,101,71,57,54,4,5,10,2,0,11,13,4,1,5,42.989449947652396,-1.950364124353175
The Ides of March,"Ides-of-March,-The",1,2,2,3,3,2,140,96,126,118,85,29,10,20,9,1,39,9,15,13,15,43.229635910753096,-0.08891375737645654
Pitch Black,Pitch-Black,1,1,2,2,3,3,136,135,133,92,80,13,12,15,0,0,43,17,9,3,2,31.966240721282567,-0.3358076978480632
Her,Her,1,2,2,2,2,6,143,149,104,60,41,13,10,5,0,0,43,23,4,8,5,43.25560592815467,-0.21723363433209422
Ghost,Ghost,1,1,1,1,1,4,124,126,120,113,87,12,1,1,4,0,61,40,71,41,93,24.67911949957793,0.4795920266042167
Gandhi,Gandhi,1,3,3,3,5,4,168,96,82,86,76,3,1,0,0,0,45,23,5,18,7,67.5992966487381,-0.22373084329187334
Jay and Silent Bob Strike Back,Jay-and-Silent-Bob-Strike-Back,1,3,2,4,2,5,152,97,113,105,101,236,8,9,19,19,64,33,11,21,19,54.19118893652063,0.2018363435736592
Silver Linings Playbook,Silver-Linings-Playbook,1,2,2,2,0,2,165,135,93,70,81,36,32,4,1,1,107,43,26,50,21,57.003346777653825,0.2278251794127757
Death at a Funeral,Death-at-a-Funeral,1,2,2,2,2,2,142,116,116,123,100,5,4,1,5,2,87,111,62,62,33,37.03119177571733,0.31716180260973864
Pet Sematary,Pet-Sematary,1,1,2,2,1,1,141,140,95,94,49,9,4,0,2,0,61,57,34,4,1,34.632692594248255,-0.5437183845609951
Tinker Tailor Soldier Spy,Tinker-Tailor-Soldier-Spy,1,3,1,2,2,5,144,92,86,82,75,0,2,4,0,0,25,2,11,1,6,49.07667791526059,-1.026136149824595
eXistenZ,eXistenZ,0,3,4,5,6,4,166,163,105,108,111,2,9,0,0,0,100,106,30,12,11,37.36950510693527,2.15912054270712
La La Land,La-La-Land,1,2,1,2,2,1,124,126,75,61,28,3,4,0,2,0,4,9,3,4,3,40.7116953762466,-1.2681571835763672
Jaws 2,Jaws-2,1,1,1,1,1,6,140,88,81,78,100,19,0,8,0,2,71,18,9,15,28,49.75413310724883,-0.8831975527094543
The Descendants,"Descendants,-The",1,2,1,1,1,2,172,127,99,104,85,17,22,8,13,4,68,26,15,4,8,60.501372662966155,0.04590332853896025
Disturbia,Disturbia,1,2,2,2,3,3,145,129,99,86,98,26,0,9,0,2,39,26,13,11,15,44.33173490716833,-0.14414003353457908
Obsessed,Obsessed,1,2,1,2,3,2,144,128,120,92,70,8,2,3,0,2,102,80,47,13,11,39.48263073309433,-0.3617965336871797
12 Years a Slave,12-Years-a-Slave,1,4,2,4,4,4,152,161,96,95,96,2,22,3,3,8,84,72,5,15,45,39.037075917354585,0.6598895752380873
Edward Scissorhands,Edward-Scissorhands,1,1,0,0,2,2,129,91,94,90,87,1,1,3,0,0,50,15,6,15,3,45.458536371219104,-1.1853177693391834
Orphan,Orphan,1,3,2,3,3,5,151,150,159,87,93,8,0,7,0,0,129,85,128,20,20,32.7228665397265,2.086026941909605
The American,"American,-The",1,2,2,2,3,2,137,99,89,117,102,3,1,0,0,11,16,4,0,4,23,37.19806763285024,-0.2610897948106033
Eternal Sunshine of the Spotless Mind,Eternal-Sunshine-of-the-Spotless-Mind,1,1,1,2,2,3,133,152,107,75,93,11,28,8,3,0,19,41,15,12,23,30.91772084843091,0.06377065317835284
Babel,Babel,1,2,2,2,0,2,110,105,91,57,66,17,1,0,1,0,33,20,5,6,2,36.5984217206556,-1.6823542547622863
She's Out of My League,She's-Out-of-My-League,1,1,1,1,1,2,138,135,118,81,86,14,58,2,21,5,86,51,41,12,17,38.90150637311703,0.16285308981498445
Milk,Milk,1,3,2,3,2,1,195,111,117,105,86,24,7,1,5,1,105,32,17,14,13,69.64690013969846,1.3599638406542878
The Debt,"Debt,-The",1,1,1,2,1,4,122,126,112,93,59,1,15,11,2,0,15,31,12,4,0,27.55005585632036,-1.1869420715791283
Ghost Ship,Ghost-Ship,1,2,1,2,2,7,145,120,118,98,23,2,4,20,6,0,43,19,6,15,0,45.64291406743797,-0.23834956345137637
Wild Things,Wild-Things,1,2,2,1,2,2,121,137,104,117,103,12,11,13,5,16,49,72,13,44,15,26.93804250224484,-0.06292492153734004
High Fidelity,High-Fidelity,1,3,2,3,2,2,175,145,125,72,67,74,9,42,0,0,138,35,41,22,1,65.0126751682516,1.337223609295061
From Dusk Till Dawn,From-Dusk-Till-Dawn,1,2,2,2,1,9,149,139,109,79,53,113,14,29,3,0,34,13,10,3,4,53.796788709347524,-0.18637189177314337
Monte Carlo,Monte-Carlo,1,3,3,2,4,3,151,155,133,104,87,0,2,1,0,0,247,282,145,71,65,31.42909139037787,1.691321497603023
Psycho,Psycho,1,2,2,2,2,2,127,137,115,102,96,0,0,0,0,0,21,1,36,9,15,27.43396117235193,-0.30657025752905714
Into the Wild,Into-the-Wild,1,2,2,6,3,2,153,107,114,91,86,10,0,1,0,2,26,0,40,3,3,42.3898898175193,0.04590332853896025
A Most Violent Year,A-Most-Violent-Year,0,2,1,2,3,3,156,126,123,100,79,13,9,7,0,2,7,10,10,4,2,56.12739025653731,-0.41377420536541265
A Scanner Darkly,A-Scanner-Darkly,0,2,4,2,2,3,158,148,122,116,125,31,4,7,13,15,12,4,0,2,0,31.000237997360397,1.1406830382617423
Alone in the Dark,Alone-in-the-Dark,0,2,3,2,4,4,103,91,84,88,65,1,1,0,0,0,16,6,14,2,3,28.059494984434448,-1.5865204226055443
The Brothers Bloom,"Brothers-Bloom,-The",0,2,2,2,2,4,149,140,122,70,87,15,3,18,0,0,40,17,9,17,3,40.331274687384074,0.6761325976375352
"Synecdoche, New York","Synecdoche,-New-York",0,2,1,2,2,2,161,127,113,82,86,7,13,9,4,0,113,70,27,30,14,48.278816699869324,0.513702373643057
Dances with Wolves,Dances-with-Wolves,1,2,1,1,2,2,131,108,98,89,98,1,0,0,0,0,5,3,0,0,0,32.68111861861862,-1.2681571835763672
Bad Teacher,Bad-Teacher,1,3,3,2,4,3,169,121,94,97,93,38,0,3,0,1,115,22,26,30,30,59.08332569438079,1.2218981502589814
The Shining,"Shining,-The",1,2,1,3,5,2,133,118,101,110,74,13,1,5,4,2,105,91,10,11,1,34.04838239580297,-0.4430116456844187
Adaptation,Adaptation,1,3,4,4,3,5,150,141,122,116,71,15,20,6,2,10,49,1,15,5,1,37.44103470161414,1.5012781355294837
The Invention of Lying,"Invention-of-Lying,-The",1,2,3,1,3,6,159,131,92,58,37,18,0,6,0,0,37,11,3,6,1,64.21415004748339,-0.4933650151227069
Fear and Loathing in Las Vegas,Fear-and-Loathing-in-Las-Vegas,0,4,2,3,2,3,176,149,72,51,45,42,47,2,1,1,46,36,7,0,0,62.11314262706127,0.825568403712455
The Mask,"Mask,-The",1,2,3,3,3,3,147,128,117,113,88,2,2,4,2,1,89,59,45,34,36,37.38305236128168,1.173169083060638
Legally Blonde,Legally-Blonde,1,3,2,3,3,3,170,90,93,81,59,10,4,4,1,1,50,8,8,13,3,66.50668845093432,-0.6103147763987311
Bad Santa,Bad-Santa,1,1,2,1,2,2,127,125,80,74,65,105,75,0,22,2,26,18,14,6,0,45.24095636680065,-0.8767003437496752
Predator,Predator,1,1,2,3,2,4,94,115,76,64,53,6,3,11,7,0,36,8,2,6,1,30.517464424320828,-1.610884956204716
Amadeus,Amadeus,1,2,2,1,2,4,155,137,119,110,154,11,0,9,0,0,6,21,6,16,35,35.99866175978588,0.9311480493088657
Prom Night,Prom-Night,1,2,3,3,3,2,112,88,89,62,56,0,3,1,0,0,72,49,26,18,26,35.50569800569801,-1.0326333587843741
Peggy Sue Got Married,Peggy-Sue-Got-Married,1,2,2,3,3,5,152,132,115,91,74,2,2,2,1,0,84,23,13,1,13,50.511774077388104,0.5543099296416766
Observe and Report,Observe-and-Report,1,3,1,3,3,2,165,91,97,95,90,54,27,6,9,13,115,10,34,25,10,69.27640201420984,0.2879243622907326
Raging Bull,Raging-Bull,1,2,2,1,3,6,174,137,108,84,48,49,34,8,0,0,145,115,45,10,18,60.89877439854744,0.7086186424364308
127 Hours,127-Hours,1,3,2,1,3,5,135,45,45,46,38,20,0,0,0,0,1,3,2,1,0,80.61059190031153,-1.7489506466000224
Youth in Revolt,Youth-in-Revolt,1,3,3,2,1,2,164,130,88,99,67,11,2,0,1,3,260,130,57,47,14,54.07031778228533,0.6339007393989708
The Ice Storm,"Ice-Storm,-The",0,3,2,1,3,3,130,118,108,96,71,7,2,4,13,0,53,32,7,13,6,41.04800563588178,-0.4365144367246396
The Last Station,"Last-Station,-The",0,2,2,2,4,1,110,136,140,123,90,1,5,2,1,0,32,22,24,25,4,19.7309535091876,0.06539495541829762
Dragonslayer,Dragonslayer,0,2,1,2,2,2,118,115,99,91,92,0,2,0,0,0,27,14,10,1,5,31.81899321670832,-0.8133525563918287
Ed Wood,Ed-Wood,0,2,2,2,3,3,170,131,87,95,82,12,12,6,6,0,132,62,33,32,28,63.272575694418144,0.6533923662783082
RocknRolla,RocknRolla,1,1,2,3,2,3,1,111,127,101,113,0,19,28,6,5,0,12,42,10,27,26.701771427110767,-0.3163160709687258
The Salton Sea,"Salton-Sea,-The",0,2,0,2,2,6,152,78,85,81,51,35,4,10,3,2,121,11,16,11,2,65.08808891331563,-0.5112323397620995
Superbad,Superbad,1,1,1,1,1,1,153,128,109,107,86,132,57,11,18,22,41,37,6,0,0,44.75003935502733,0.2586869219717265
Hotel Rwanda,Hotel-Rwanda,1,2,0,2,4,4,154,84,84,80,57,0,0,1,4,1,74,21,11,11,4,68.61806838486932,-0.8230983698314974
Aliens,Aliens,1,2,1,2,4,4,136,93,82,101,82,6,4,14,0,1,59,7,7,11,3,44.272504967140456,-0.6574195413571298
Sideways,Sideways,1,2,2,2,2,2,159,152,112,67,69,31,53,3,6,0,65,90,13,7,7,42.31178049615364,0.6745082953975904
Friday the 13th,Friday-the-13th,1,1,1,1,2,1,86,75,68,77,69,3,3,1,2,0,36,12,12,4,19,25.907752698724238,-1.7781880869190283
Evil Dead,Evil-Dead,1,1,1,2,1,7,101,91,75,70,63,0,2,0,0,0,44,14,8,11,0,30.572687224669604,-1.7002215794016788
The Hills Have Eyes,"Hills-Have-Eyes,-The",1,2,3,3,3,3,126,131,108,100,95,6,3,1,1,1,51,49,34,22,7,28.39559418751244,0.005295772540340738
Smokin' Aces,Smokin'-Aces,1,4,3,3,8,5,111,112,98,112,93,1,15,25,0,14,21,10,5,28,6,20.606518528694576,0.05727344421857372
My Girl,My-Girl,1,2,3,3,1,4,128,115,120,95,50,1,1,0,0,1,16,47,41,11,17,30.845771144278608,-0.337432000088008
Wall Street,Wall-Street,1,3,4,3,4,3,152,162,110,105,81,8,9,0,2,3,80,54,14,6,24,38.7675018704289,2.086026941909605
Sense and Sensibility,Sense-and-Sensibility,1,4,3,3,4,4,147,139,113,116,112,0,0,0,0,0,75,58,58,32,16,30.944672626238226,0.31553750036979383
Dead Poets Society,Dead-Poets-Society,1,2,3,1,1,3,127,146,111,99,94,3,2,1,3,2,30,32,39,30,15,25.36188669015993,0.10437820917697235
The Verdict,"Verdict,-The",1,2,2,4,3,3,149,110,86,125,88,4,11,1,1,0,35,8,146,6,14,42.19821673525377,0.5608071386014557
Moonrise Kingdom,Moonrise-Kingdom,1,1,2,2,3,7,122,118,111,90,51,3,0,0,0,0,11,7,7,15,1,27.960823059409773,-0.5258510599216025
The Roommate,"Roommate,-The",1,2,2,2,2,2,166,157,105,96,95,10,4,6,1,1,196,169,36,38,21,41.86421361120156,1.3956984899330729
Remember Me,Remember-Me,1,2,1,2,2,2,139,118,117,74,73,5,2,9,1,1,46,6,19,14,11,37.52970781490284,-0.389409671766241
Jennifer's Body,Jennifer's-Body,1,2,2,2,2,2,131,136,116,76,54,16,18,5,1,1,43,38,29,4,1,35.84223065384276,0.06052204869846328
Highlander,Highlander,0,2,2,1,2,3,133,131,104,104,93,0,4,0,0,2,11,20,13,8,6,28.154379020286985,-0.3796638583265723
Detroit Rock City,Detroit-Rock-City,0,2,2,2,2,3,139,114,104,98,73,34,6,17,27,2,42,11,20,13,2,37.145480179678025,0.03940611957918113
Slither,Slither,0,2,1,1,2,1,105,122,84,59,55,8,5,5,10,3,61,62,3,5,8,31.98647778493239,-1.2714057880562568
The King's Speech,"King's-Speech,-The",1,3,3,5,5,3,168,162,98,105,93,21,3,0,0,0,36,40,5,3,9,39.78074074074074,1.3989470944129625
American Beauty,American-Beauty,1,2,2,1,2,1,145,112,104,124,99,16,9,11,1,13,22,8,4,21,9,36.963237135780474,-0.022317365538720532
"Crouching Tiger, Hidden Dragon","Crouching-Tiger,-Hidden-Dragon",1,2,1,2,1,3,132,106,117,90,75,0,0,0,0,1,62,57,36,15,20,31.82680696912196,-0.7824908138328779
Twins,Twins,1,3,3,2,2,3,145,149,84,76,86,13,6,0,0,1,121,122,19,21,21,47.320749498720865,0.2765542466111191
Scream,Scream,1,1,2,2,3,3,127,104,123,103,102,9,9,13,2,5,53,18,26,27,16,26.092509079299198,-0.5307239666414368
The Queen,"Queen,-The",1,3,3,2,5,3,156,136,86,74,89,1,0,0,0,0,3,5,0,2,1,39.516867385027105,-0.3780395560866275
The Deer Hunter,"Deer-Hunter,-The",1,0,0,0,0,0,132,92,100,55,72,10,20,31,1,0,98,50,35,30,20,38.605619146722155,-1.5572829822865382
When a Stranger Calls,When-a-Stranger-Calls,1,1,2,2,1,2,97,110,83,67,75,0,0,0,0,0,43,16,9,1,3,26.914840010078105,-1.654741116683225
Wag the Dog,Wag-the-Dog,1,3,2,2,3,7,164,155,126,68,88,8,19,3,2,0,34,15,19,2,2,42.08670880441557,0.9831257209870987
The Theory of Everything,"Theory-of-Everything,-The",1,2,4,2,3,4,139,132,74,77,86,0,0,1,1,0,23,14,3,10,8,31.85294237925817,-0.6574195413571298
Drive,Drive,1,3,4,4,4,5,132,140,117,119,116,1,12,1,4,8,57,69,56,27,69,21.58084834603356,0.7167401536361546
Malibu's Most Wanted,Malibu's-Most-Wanted,1,2,2,1,3,3,126,107,99,94,91,12,10,8,4,1,21,8,12,18,21,42.664086437671344,-0.13114561561502083
All About Steve,All-About-Steve,1,3,4,2,3,2,167,144,112,90,69,14,4,8,0,0,77,104,54,12,23,56.556946376139706,1.943088344794464
The Princess Bride,"Princess-Bride,-The",1,3,3,3,3,4,108,116,109,120,107,0,0,0,0,0,27,2,0,1,10,25.15587178170616,-0.50798373528221
Love and Basketball,Love-and-Basketball,1,1,1,2,2,3,126,131,97,89,71,16,18,0,5,0,18,14,8,9,8,33.634297833661556,-0.3747909516067379
Boogie Nights,Boogie-Nights,1,-1,0,0,0,0,119,116,87,61,64,33,11,4,5,9,39,33,7,14,16,39.20600767835296,-1.321759157494545
The Big Lebowski,"Big-Lebowski,-The",1,2,3,4,2,4,152,147,95,103,61,133,100,1,3,0,176,140,13,9,20,44.103789846245775,0.05402483973868416
The Hurt Locker,"Hurt-Locker,-The",1,1,1,2,1,3,143,126,105,59,36,11,16,7,1,0,41,32,9,2,14,44.84765386959171,-0.24647107465110027
Confidence,Confidence,0,2,2,2,2,3,167,118,93,91,90,29,19,8,9,4,62,7,6,12,6,61.275304105712394,0.19209053013399052
Black Snake Moan,Black-Snake-Moan,0,1,1,1,1,1,148,121,92,73,71,23,26,6,14,14,22,17,14,2,6,51.88379364252214,-0.26271409705054805
Mulholland Drive,Mulholland-Drive,1,1,1,0,3,3,124,80,71,85,79,0,1,0,1,0,49,19,1,7,1,49.530890423083726,-1.4289631053309007
Groundhog Day,Groundhog-Day,1,2,1,1,1,7,179,144,38,57,27,7,0,0,3,0,77,50,0,19,2,66.29163651642118,-0.1847475895331986
Pretty Woman,Pretty-Woman,1,1,2,2,0,3,149,148,128,83,64,16,4,5,4,0,30,33,37,2,2,38.991571787668185,0.04103042181912591
Slumdog Millionaire,Slumdog-Millionaire,1,2,3,1,1,3,135,142,105,73,87,2,1,12,1,0,58,44,26,21,1,28.02077391852541,-0.26921130601032717
The Iron Lady,"Iron-Lady,-The",1,3,2,3,5,10,152,113,79,52,25,0,0,0,0,0,29,7,3,3,0,65.29327503015682,-0.8247226720714421
Jason X,Jason-X,1,1,2,1,1,1,123,116,99,79,83,18,10,7,4,6,18,20,14,24,18,26.935913142664017,-0.8230983698314974
Margaret,Margaret,0,3,2,3,3,5,176,142,133,101,105,38,8,12,0,1,112,56,43,16,6,56.56212569361265,1.4233116280121343
Black Swan,Black-Swan,1,2,3,2,2,3,128,132,106,113,32,4,8,6,1,0,44,60,39,43,10,30.48470480706064,0.08488658229763499
Save the Last Dance,Save-the-Last-Dance,1,1,1,1,1,1,138,141,105,107,99,23,26,10,2,23,32,43,33,14,6,32.755096552095104,-0.025565970018610093
The Butterfly Effect,"Butterfly-Effect,-The",1,2,2,1,1,1,146,119,95,80,60,28,11,0,19,2,52,31,19,14,2,55.64549539500939,-0.6866569816761359
10 Things I Hate About You,10-Things-I-Hate-About-You,1,3,1,2,2,3,140,116,121,99,109,8,7,6,3,4,12,6,16,11,16,29.602410749976936,0.10600251141691713
Being John Malkovich,Being-John-Malkovich,1,2,2,2,3,2,134,125,112,129,99,8,11,11,2,7,93,55,39,28,24,30.802122507856367,0.2814271533309535
The Perks of Being a Wallflower,"Perks-of-Being-a-Wallflower,-The",1,2,2,1,1,2,148,120,111,85,70,2,11,3,5,0,50,42,34,14,4,46.58166934011837,-0.19774200745275683
Room,Room,1,1,1,0,1,0,150,134,92,73,56,6,0,0,0,0,65,54,22,4,19,53.54575656901238,-0.7240159331948658
Serial Mom,Serial-Mom,0,3,1,2,2,1,119,72,75,61,46,8,3,1,1,6,38,25,5,12,0,49.53224707267208,-1.485813683728968
