,Processed Title,Release Date,Year,imdb_id,has_synopsis,has_plot,new_title
Warm Bodies,Warm-Bodies,"Feb 1, 2013",2013,6674554,NO,NO,Warm-Bodies
About Schmidt,About-Schmidt,"Dec 13, 2002",2002,7322116,NO,NO,About-Schmidt
The Nut Job,"Nut-Job,-The","Jan 17, 2014",2014,3579378,NO,NO,"Nut-Job,-The"
Down to Earth,Down-to-Earth,"Feb 16, 2001",2001,0231775,NO,YES,Down-to-Earth
Babe,Babe,"Aug 4, 1995",1995,0112466,NO,YES,Babe
Hope Springs,Hope-Springs,"Aug 8, 2012",2012,2572816,NO,YES,Hope-Springs
Forgetting Sarah Marshall,Forgetting-Sarah-Marshall,"Apr 18, 2008",2008,1657648,NO,NO,Forgetting-Sarah-Marshall
Friday Night Lights,Friday-Night-Lights,"Oct 8, 2004",2004,0784841,NO,NO,Friday-Night-Lights
Harlem Nights,Harlem-Nights,"Nov 17, 1989",1989,1659710,NO,NO,Harlem-Nights
Baby Mama,Baby-Mama,"Apr 25, 2008",2008,1310901,NO,YES,Baby-Mama
Hope Floats,Hope-Floats,"May 29, 1998",1998,8917656,NO,YES,Hope-Floats
Bride Wars,Bride-Wars,"Jan 9, 2009",2009,1866125,NO,YES,Bride-Wars
Without a Paddle,Without-a-Paddle,"Aug 20, 2004",2004,1095828,NO,NO,Without-a-Paddle
Midnight in Paris,Midnight-in-Paris,"May 20, 2011",2011,7084500,NO,NO,Midnight-in-Paris
Darkest Hour,Darkest-Hour,"Nov 22, 2017",2017,4555426,YES,YES,Darkest-Hour
Wallace & Gromit: The Curse of the Were-Rabbit,Wallace-&-Gromit-The-Curse-of-the-Were-Rabbit,"Oct 5, 2005",2005,0476503,NO,YES,Wallace-&-Gromit-The-Curse-of-the-Were-Rabbit
P.S. I Love You,P.S.-I-Love-You,"Dec 21, 2007",2007,1136280,NO,NO,P.S.-I-Love-You
Corpse Bride,Corpse-Bride,"Sep 23, 2005",2005,0594949,NO,NO,Corpse-Bride
Life of the Party,Life-of-the-Party,"May 11, 2018",2018,8795930,NO,NO,Life-of-the-Party
Letters to Juliet,Letters-to-Juliet,"May 14, 2010",2010,1964876,NO,YES,Letters-to-Juliet
Blow,Blow,"Apr 6, 2001",2001,0438287,NO,YES,Blow
Message in a Bottle,Message-in-a-Bottle,"Feb 12, 1999",1999,0568686,NO,YES,Message-in-a-Bottle
Southpaw,Southpaw,"Jul 24, 2015",2015,4949260,NO,NO,Southpaw
Star Trek V: The Final Frontier,Star-Trek-V-The-Final-Frontier,"Jun 9, 1989",1989,3489248,NO,NO,Star-Trek-V-The-Final-Frontier
Atomic Blonde,Atomic-Blonde,"Jul 28, 2017",2017,7395968,NO,NO,Atomic-Blonde
Like Mike,Like-Mike,"Jul 3, 2002",2002,7322014,NO,NO,Like-Mike
Naked Gun 33 1/3: The Final Insult,Naked-Gun-33-1/3-The-Final-Insult,"Mar 18, 1994",1994,6140464,NO,NO,Naked-Gun-33-13-The-Final-Insult
Atonement,Atonement,"Dec 7, 2007",2007,1154617,NO,NO,Atonement
A View to a Kill,A-View-to-a-Kill,"May 24, 1985",1985,6786890,NO,YES,A-View-to-a-Kill
Racing Stripes,Racing-Stripes,"Jan 14, 2005",2005,3090260,NO,NO,Racing-Stripes
Sicario,Sicario,"Sep 18, 2015",2015,3397884,YES,YES,Sicario
Black Rain,Black-Rain,"Sep 22, 1989",1989,1659703,NO,NO,Black-Rain
Full Metal Jacket,Full-Metal-Jacket,"Jun 26, 1987",1987,1580566,NO,NO,Full-Metal-Jacket
Den of Thieves,Den-of-Thieves,"Jan 19, 2018",2018,7856660,NO,YES,Den-of-Thieves
The Three Stooges,"Three-Stooges,-The","Apr 13, 2012",2012,2368443,NO,NO,"Three-Stooges,-The"
Pokemon 2000,Pokemon-2000,"Jul 21, 2000",2000,0382918,NO,YES,Pokemon-2000
John Wick,John-Wick,"Oct 24, 2014",2014,4144784,NO,NO,John-Wick
Glory Road,Glory-Road,"Jan 13, 2006",2006,0827523,NO,NO,Glory-Road
The Age of Adaline,"Age-of-Adaline,-The","Apr 24, 2015",2015,7041094,NO,NO,"Age-of-Adaline,-The"
Step Up 3D,Step-Up-3D,"Aug 6, 2010",2010,2135160,NO,NO,Step-Up-3D
Drag Me To Hell,Drag-Me-To-Hell,"May 29, 2009",2009,2874624,NO,NO,Drag-Me-To-Hell
The Cabin in the Woods,"Cabin-in-the-Woods,-The","Apr 13, 2012",2012,2488710,NO,YES,"Cabin-in-the-Woods,-The"
Secondhand Lions,Secondhand-Lions,"Sep 19, 2003",2003,7331578,NO,NO,Secondhand-Lions
Stranger Than Fiction,Stranger-Than-Fiction,"Nov 10, 2006",2006,0420223,YES,YES,Stranger-Than-Fiction
Hanna,Hanna,"Apr 8, 2011",2011,2083208,NO,YES,Hanna
Blue Crush,Blue-Crush,"Aug 16, 2002",2002,1191134,NO,YES,Blue-Crush
30 Days of Night,30-Days-of-Night,"Oct 19, 2007",2007,1245687,YES,YES,30-Days-of-Night
Little Shop of Horrors,Little-Shop-of-Horrors,"Dec 19, 1986",1986,0091419,YES,YES,Little-Shop-of-Horrors
Gridiron Gang,Gridiron-Gang,"Sep 15, 2006",2006,1038089,NO,NO,Gridiron-Gang
Midnight Run,Midnight-Run,"Jul 20, 1988",1988,0095631,YES,YES,Midnight-Run
Meet the Spartans,Meet-the-Spartans,"Jan 25, 2008",2008,1458934,NO,NO,Meet-the-Spartans
The Running Man,"Running-Man,-The","Nov 13, 1987",1987,0093894,YES,YES,"Running-Man,-The"
The Family,"Family,-The","Sep 13, 2013",2013,6677516,NO,NO,"Family,-The"
The 15:17 to Paris,"15:17-to-Paris,-The","Feb 9, 2018",2018,7947250,NO,YES,"15:17-to-Paris,-The"
Mortal Kombat: Annihilation,Mortal-Kombat-Annihilation,"Nov 21, 1997",1997,0119707,YES,YES,Mortal-Kombat-Annihilation
Larry Crowne,Larry-Crowne,"Jul 1, 2011",2011,7880596,NO,NO,Larry-Crowne
Carrie,Carrie,"Oct 18, 2013",2013,2882224,NO,NO,Carrie
Take the Lead,Take-the-Lead,"Apr 7, 2006",2006,1695145,NO,NO,Take-the-Lead
Death Wish,Death-Wish,"Mar 2, 2018",2018,8557136,NO,YES,Death-Wish
Love and Other Drugs,Love-and-Other-Drugs,"Nov 24, 2010",2010,0758752,YES,YES,Love-and-Other-Drugs
Entourage,Entourage,"Jun 3, 2015",2015,6582952,NO,NO,Entourage
What's the Worst That Could Happen?,What's-the-Worst-That-Could-Happen?,"Jun 1, 2001",2001,7255438,NO,NO,What's-the-Worst-That-Could-Happen
Side Effects,Side-Effects,"Feb 8, 2013",2013,2099720,NO,YES,Side-Effects
9,9,"Sep 9, 2009",2009,1136608,YES,YES,9
Deliver Us from Evil,Deliver-Us-from-Evil,"Jul 2, 2014",2014,7045874,NO,NO,Deliver-Us-from-Evil
Get on Up,Get-on-Up,"Aug 1, 2014",2014,3071176,NO,YES,Get-on-Up
Molly's Game,Molly's-Game,"Dec 25, 2017",2017,7825576,NO,YES,Molly's-Game
The Five-Year Engagement,"Five-Year-Engagement,-The","Apr 27, 2012",2012,7190814,NO,NO,"Five-Year-Engagement,-The"
The Prince & Me,"Prince-&-Me,-The","Apr 2, 2004",2004,0337697,YES,YES,"Prince-&-Me,-The"
Winnie the Pooh,Winnie-the-Pooh,"Jul 15, 2011",2011,7084546,NO,NO,Winnie-the-Pooh
Bulworth,Bulworth,"May 15, 1998",1998,6176630,NO,YES,Bulworth
Dumb and Dumberer: When Harry Met Lloyd,Dumb-and-Dumberer-When-Harry-Met-Lloyd,"Jun 13, 2003",2003,7323058,NO,NO,Dumb-and-Dumberer-When-Harry-Met-Lloyd
White Boy Rick,White-Boy-Rick,"Sep 14, 2018",2018,9773066,NO,NO,White-Boy-Rick
Virtuosity,Virtuosity,"Aug 4, 1995",1995,6155832,NO,NO,Virtuosity
One True Thing,One-True-Thing,"Sep 18, 1998",1998,0452054,NO,YES,One-True-Thing
