,Processed Title,Release Date,Year,imdb_id,has_synopsis,has_plot,new_title
Zwartboek,Zwartboek,"Apr 6, 2007",2007,NO ID FOUND,NO,NO,Zwartboek
Before I Go to Sleep,Before-I-Go-to-Sleep,"Oct 31, 2014",2014,4162450,NO,NO,Before-I-Go-to-Sleep
Stone,Stone,"Oct 8, 2010",2010,1762333,NO,YES,Stone
Joyeux NoÃ«l,Joyeux-NoÃ«l,"Mar 3, 2006",2006,NO ID FOUND,NO,NO,Joyeux-NoÃ«l
Metegol,Metegol,"Dec 31, 2013",2013,1634003,NO,YES,Metegol
Sorcerer,Sorcerer,"Jun 24, 1977",1977,0076740,YES,YES,Sorcerer
MoliÃ¨re,MoliÃ¨re,"Jul 27, 2007",2007,NO ID FOUND,NO,NO,MoliÃ¨re
Michael Clayton,Michael-Clayton,"Oct 5, 2007",2007,1161361,NO,NO,Michael-Clayton
Arlington Road,Arlington-Road,"Jul 9, 1999",1999,3522952,NO,YES,Arlington-Road
My Fellow Americans,My-Fellow-Americans,"Dec 20, 1996",1996,1615371,NO,YES,My-Fellow-Americans
To Rome with Love,To-Rome-with-Love,"Jun 22, 2012",2012,2262624,NO,YES,To-Rome-with-Love
Silver Linings Playbook,Silver-Linings-Playbook,"Nov 16, 2012",2012,3680782,NO,NO,Silver-Linings-Playbook
Blockers,Blockers,"Apr 6, 2018",2018,7631522,NO,YES,Blockers
"South Park: Bigger, Longer & Uncut","South-Park-Bigger,-Longer-&-Uncut","Jun 30, 1999",1999,0701647,NO,NO,"South-Park-Bigger,-Longer-&-Uncut"
Firefox,Firefox,"Jun 18, 1982",1982,3441692,NO,NO,Firefox
Death at a Funeral,Death-at-a-Funeral,"Apr 16, 2010",2010,1658404,NO,YES,Death-at-a-Funeral
Teenage Mutant Ninja Turtles III,Teenage-Mutant-Ninja-Turtles-III,"Mar 19, 1993",1993,0108308,NO,YES,Teenage-Mutant-Ninja-Turtles-III
Hardball,Hardball,"Sep 14, 2001",2001,7258206,NO,NO,Hardball
For Colored Girls,For-Colored-Girls,"Nov 5, 2010",2010,1810613,NO,NO,For-Colored-Girls
Freedom Writers,Freedom-Writers,"Jan 5, 2007",2007,1062418,NO,NO,Freedom-Writers
Kidnap,Kidnap,"Aug 4, 2017",2017,7639684,NO,YES,Kidnap
The Transporter,"Transporter,-The","Oct 11, 2002",2002,0293662,YES,YES,"Transporter,-The"
Never Back Down,Never-Back-Down,"Mar 14, 2008",2008,1657668,NO,NO,Never-Back-Down
Tinker Tailor Soldier Spy,Tinker-Tailor-Soldier-Spy,"Dec 9, 2011",2011,2058496,NO,NO,Tinker-Tailor-Soldier-Spy
The Bachelor,"Bachelor,-The","Nov 5, 1999",1999,0197570,NO,NO,"Bachelor,-The"
The Rage: Carrie 2,"Rage-Carrie-2,-The","Mar 12, 1999",1999,0144814,YES,YES,"Rage-Carrie-2,-The"
Swing Vote,Swing-Vote,"Aug 1, 2008",2008,1260403,YES,NO,Swing-Vote
Away We Go,Away-We-Go,"Jun 5, 2009",2009,1836186,NO,NO,Away-We-Go
Moonlight Mile,Moonlight-Mile,"Sep 27, 2002",2002,0383844,NO,NO,Moonlight-Mile
The Beaver,"Beaver,-The","May 6, 2011",2011,1919418,YES,YES,"Beaver,-The"
Bitter Harvest,Bitter-Harvest,"Feb 24, 2017",2017,3182620,NO,YES,Bitter-Harvest
Molly,Molly,"Oct 22, 1999",1999,1306242,NO,NO,Molly
Velvet Buzzsaw,Velvet-Buzzsaw,"Feb 1, 2019",2019,9910432,NO,NO,Velvet-Buzzsaw
eXistenZ,eXistenZ,"Apr 23, 1999",1999,0701638,NO,NO,eXistenZ
The Best Little Whorehouse in Texas,"Best-Little-Whorehouse-in-Texas,-The","Jul 23, 1982",1982,3441712,NO,NO,"Best-Little-Whorehouse-in-Texas,-The"
Pulse,Pulse,"Aug 11, 2006",2006,0462359,NO,YES,Pulse
Raiders of the Lost Ark,Raiders-of-the-Lost-Ark,"Jun 12, 1981",1981,0082971,YES,YES,Raiders-of-the-Lost-Ark
Home Alone 2: Lost in New York,Home-Alone-2-Lost-in-New-York,"Nov 20, 1992",1992,3735272,NO,YES,Home-Alone-2-Lost-in-New-York
Close Encounters of the Third Kind,Close-Encounters-of-the-Third-Kind,"Nov 16, 1977",1977,0267708,NO,YES,Close-Encounters-of-the-Third-Kind
Beverly Hills Cop II,Beverly-Hills-Cop-II,"May 20, 1987",1987,5192788,NO,NO,Beverly-Hills-Cop-II
La La Land,La-La-Land,"Dec 9, 2016",2016,8533906,NO,YES,La-La-Land
The Conjuring,"Conjuring,-The","Jul 19, 2013",2013,6676828,NO,NO,"Conjuring,-The"
Bringing Down the House,Bringing-Down-the-House,"Mar 7, 2003",2003,0366948,NO,NO,Bringing-Down-the-House
Wonder,Wonder,"Nov 17, 2017",2017,0451279,YES,YES,Wonder
The Silence of the Lambs,"Silence-of-the-Lambs,-The","Feb 14, 1991",1991,5289054,NO,YES,"Silence-of-the-Lambs,-The"
Wayne's World,Wayne's-World,"Feb 14, 1992",1992,7068390,NO,YES,Wayne's-World
Jackass 3D,Jackass-3D,"Oct 15, 2010",2010,2135164,NO,NO,Jackass-3D
Bad Moms,Bad-Moms,"Jul 29, 2016",2016,5232044,NO,YES,Bad-Moms
Glass,Glass,"Jan 18, 2019",2019,8255890,NO,NO,Glass
Jaws 2,Jaws-2,"Jun 16, 1978",1978,0077766,YES,YES,Jaws-2
Beverly Hills Chihuahua,Beverly-Hills-Chihuahua,"Oct 3, 2008",2008,1657663,NO,NO,Beverly-Hills-Chihuahua
Tammy,Tammy,"Jul 2, 2014",2014,9510892,NO,NO,Tammy
Are We There Yet?,Are-We-There-Yet?,"Jan 21, 2005",2005,0368578,NO,YES,Are-We-There-Yet
The Descendants,"Descendants,-The","Nov 16, 2011",2011,2305461,NO,NO,"Descendants,-The"
School of Rock,School-of-Rock,"Oct 3, 2003",2003,0332379,YES,YES,School-of-Rock
Disturbia,Disturbia,"Apr 13, 2007",2007,5922570,NO,YES,Disturbia
Free Willy,Free-Willy,"Jul 16, 1993",1993,6119800,NO,NO,Free-Willy
Tyler Perry's Boo! A Madea Halloween,Tyler-Perry's-Boo!-A-Madea-Halloween,"Oct 21, 2016",2016,6170548,NO,YES,Tyler-Perry's-Boo!-A-Madea-Halloween
Mortal Kombat,Mortal-Kombat,"Aug 18, 1995",1995,0202480,NO,YES,Mortal-Kombat
White Chicks,White-Chicks,"Jun 23, 2004",2004,7345350,NO,NO,White-Chicks
Obsessed,Obsessed,"Apr 24, 2009",2009,7349990,NO,YES,Obsessed
Holes,Holes,"Apr 18, 2003",2003,0799639,NO,NO,Holes
Tyler Perry's Madea's Witness Protection,Tyler-Perry's-Madea's-Witness-Protection,"Jun 29, 2012",2012,2215285,NO,YES,Tyler-Perry's-Madea's-Witness-Protection
The Last Song,"Last-Song,-The","Mar 31, 2010",2010,1930974,NO,NO,"Last-Song,-The"
Why Did I Get Married Too?,Why-Did-I-Get-Married-Too?,"Apr 2, 2010",2010,2135147,NO,NO,Why-Did-I-Get-Married-Too
La vita Ã¨ bella,La-vita-Ã¨-bella,"Oct 23, 1998",1998,NO ID FOUND,NO,NO,La-vita-Ã¨-bella
12 Years a Slave,12-Years-a-Slave,"Oct 18, 2013",2013,3920458,NO,NO,12-Years-a-Slave
Drumline,Drumline,"Dec 13, 2002",2002,0303933,YES,YES,Drumline
Me Before You,Me-Before-You,"Jun 3, 2016",2016,5512872,NO,YES,Me-Before-You
What Men Want,What-Men-Want,"Feb 8, 2019",2019,9752912,NO,NO,What-Men-Want
Barbershop: The Next Cut,Barbershop-The-Next-Cut,"Apr 15, 2016",2016,7047946,NO,NO,Barbershop-The-Next-Cut
Edward Scissorhands,Edward-Scissorhands,"Dec 7, 1990",1990,0790684,NO,YES,Edward-Scissorhands
A Simple Favor,A-Simple-Favor,"Sep 14, 2018",2018,9515594,NO,NO,A-Simple-Favor
Selma,Selma,"Jan 9, 2015",2015,5538040,NO,NO,Selma
Popeye,Popeye,"Dec 12, 1980",1980,0260264,NO,YES,Popeye
Date Movie,Date-Movie,"Feb 17, 2006",2006,0996633,NO,YES,Date-Movie
Peter Pan: Return to Neverland,Peter-Pan-Return-to-Neverland,"Feb 15, 2002",2002,0280030,NO,YES,Peter-Pan-Return-to-Neverland
The Jungle Book 2,"Jungle-Book-2,-The","Feb 14, 2003",2003,0283426,NO,YES,"Jungle-Book-2,-The"
Premonition,Premonition,"Mar 16, 2007",2007,1035485,NO,NO,Premonition
Tyler Perry's Boo 2! A Madea Halloween,Tyler-Perry's-Boo-2!-A-Madea-Halloween,"Oct 20, 2017",2017,7458692,NO,YES,Tyler-Perry's-Boo-2!-A-Madea-Halloween
Boogeyman,Boogeyman,"Feb 4, 2005",2005,3090276,NO,NO,Boogeyman
The Tigger Movie,"Tigger-Movie,-The","Feb 11, 2000",2000,0220099,NO,YES,"Tigger-Movie,-The"
Spotlight,Spotlight,"Nov 6, 2015",2015,5078924,NO,NO,Spotlight
Acrimony,Acrimony,"Mar 30, 2018",2018,8232354,NO,NO,Acrimony
Max,Max,"Jun 26, 2015",2015,1392190,YES,YES,Max
Meet the Browns,Meet-the-Browns,"Mar 21, 2008",2008,1657647,NO,NO,Meet-the-Browns
Orphan,Orphan,"Jul 24, 2009",2009,1157552,NO,YES,Orphan
The Star,"Star,-The","Nov 17, 2017",2017,5171438,NO,YES,"Star,-The"
Epic Movie,Epic-Movie,"Jan 26, 2007",2007,2135144,NO,NO,Epic-Movie
Lakeview Terrace,Lakeview-Terrace,"Sep 19, 2008",2008,3878802,NO,NO,Lakeview-Terrace
The Grudge 2,"Grudge-2,-The","Oct 13, 2006",2006,2135116,NO,NO,"Grudge-2,-The"
Nerve,Nerve,"Jul 27, 2016",2016,7239206,NO,NO,Nerve
How Stella Got Her Groove Back,How-Stella-Got-Her-Groove-Back,"Aug 14, 1998",1998,6176790,NO,NO,How-Stella-Got-Her-Groove-Back
Bill & Ted's Bogus Journey,Bill-&-Ted's-Bogus-Journey,"Jul 19, 1991",1991,6092066,NO,YES,Bill-&-Ted's-Bogus-Journey
Man of the Year,Man-of-the-Year,"Oct 13, 2006",2006,0939675,NO,NO,Man-of-the-Year
Risen,Risen,"Feb 19, 2016",2016,7929986,NO,NO,Risen
Vampires Suck,Vampires-Suck,"Aug 18, 2010",2010,1791670,NO,YES,Vampires-Suck
The Black Hole,"Black-Hole,-The","Dec 21, 1979",1979,0078869,YES,YES,"Black-Hole,-The"
The American,"American,-The","Sep 1, 2010",2010,1772231,NO,YES,"American,-The"
Selena,Selena,"Mar 21, 1997",1997,0234690,NO,NO,Selena
A Very Harold & Kumar 3D Christmas,A-Very-Harold-&-Kumar-3D-Christmas,"Nov 4, 2011",2011,2109418,NO,NO,A-Very-Harold-&-Kumar-3D-Christmas
Eternal Sunshine of the Spotless Mind,Eternal-Sunshine-of-the-Spotless-Mind,"Mar 19, 2004",2004,0486419,NO,YES,Eternal-Sunshine-of-the-Spotless-Mind
Texas Chainsaw 3D,Texas-Chainsaw-3D,"Jan 4, 2013",2013,6446082,NO,NO,Texas-Chainsaw-3D
Babel,Babel,"Oct 27, 2006",2006,0876705,NO,NO,Babel
This is Where I Leave You,This-is-Where-I-Leave-You,"Sep 19, 2014",2014,4132908,NO,NO,This-is-Where-I-Leave-You
Doubt,Doubt,"Dec 12, 2008",2008,0484831,NO,YES,Doubt
Team America: World Police,Team-America-World-Police,"Oct 15, 2004",2004,7345392,NO,NO,Team-America-World-Police
Copycat,Copycat,"Oct 27, 1995",1995,6149050,NO,NO,Copycat
Scary Movie V,Scary-Movie-V,"Apr 12, 2013",2013,0795461,YES,YES,Scary-Movie-V
She's Out of My League,She's-Out-of-My-League,"Mar 12, 2010",2010,1617213,NO,YES,She's-Out-of-My-League
Milk,Milk,"Nov 26, 2008",2008,8646160,NO,YES,Milk
Paint Your Wagon,Paint-Your-Wagon,"Oct 15, 1969",1969,0064782,NO,YES,Paint-Your-Wagon
The Debt,"Debt,-The","Aug 31, 2011",2011,1630061,NO,YES,"Debt,-The"
Ghost Ship,Ghost-Ship,"Oct 25, 2002",2002,2327165,NO,NO,Ghost-Ship
Daybreakers,Daybreakers,"Jan 8, 2010",2010,2368463,NO,NO,Daybreakers
The Bank Job,"Bank-Job,-The","Mar 7, 2008",2008,1331310,NO,NO,"Bank-Job,-The"
Wild Things,Wild-Things,"Mar 20, 1998",1998,6173686,NO,NO,Wild-Things
The Stepfather,"Stepfather,-The","Oct 16, 2009",2009,1542963,NO,YES,"Stepfather,-The"
High Fidelity,High-Fidelity,"Mar 31, 2000",2000,0701679,NO,NO,High-Fidelity
Stick It,Stick-It,"Apr 28, 2006",2006,0863035,NO,YES,Stick-It
One Missed Call,One-Missed-Call,"Jan 4, 2008",2008,3011022,NO,NO,One-Missed-Call
Eye for an Eye,Eye-for-an-Eye,"Jan 12, 1996",1996,4870274,NO,NO,Eye-for-an-Eye
Street Kings,Street-Kings,"Apr 11, 2008",2008,1464591,NO,YES,Street-Kings
The World's End,"World's-End,-The","Aug 23, 2013",2013,3161330,NO,YES,"World's-End,-The"
From Dusk Till Dawn,From-Dusk-Till-Dawn,"Jan 19, 1996",1996,0116367,YES,YES,From-Dusk-Till-Dawn
You Again,You-Again,"Sep 24, 2010",2010,1721138,NO,NO,You-Again
Nancy Drew,Nancy-Drew,"Jun 15, 2007",2007,1090755,NO,YES,Nancy-Drew
Alpha and Omega 3D,Alpha-and-Omega-3D,"Sep 17, 2010",2010,1213012,YES,YES,Alpha-and-Omega-3D
On the Basis of Sex,On-the-Basis-of-Sex,"Dec 25, 2018",2018,9543098,NO,YES,On-the-Basis-of-Sex
Endless Love,Endless-Love,"Feb 14, 2014",2014,3534118,NO,NO,Endless-Love
The Covenant,"Covenant,-The","Sep 8, 2006",2006,0480516,NO,YES,"Covenant,-The"
Monte Carlo,Monte-Carlo,"Jul 1, 2011",2011,2059307,NO,YES,Monte-Carlo
Stay Alive,Stay-Alive,"Mar 24, 2006",2006,3468860,NO,NO,Stay-Alive
2 For the Money,2-For-the-Money,"Oct 7, 2005",2005,0499325,NO,NO,2-For-the-Money
Rough Night,Rough-Night,"Jun 16, 2017",2017,7885018,NO,YES,Rough-Night
Psycho,Psycho,"Dec 4, 1998",1998,0134914,NO,YES,Psycho
Quigley Down Under,Quigley-Down-Under,"Oct 19, 1990",1990,6083334,NO,NO,Quigley-Down-Under
To Die For,To-Die-For,"Sep 27, 1995",1995,0114814,YES,YES,To-Die-For
Shorts,Shorts,"Aug 21, 2009",2009,2506394,NO,YES,Shorts
Vampires,Vampires,"Oct 30, 1998",1998,0120611,YES,YES,Vampires
Appaloosa,Appaloosa,"Sep 19, 2008",2008,8645718,NO,YES,Appaloosa
Secret in Their Eyes,Secret-in-Their-Eyes,"Nov 20, 2015",2015,5239544,NO,YES,Secret-in-Their-Eyes
Yu-Gi-Oh,Yu-Gi-Oh,"Aug 13, 2004",2004,0493334,NO,YES,Yu-Gi-Oh
Reign Over Me,Reign-Over-Me,"Mar 23, 2007",2007,1038149,NO,NO,Reign-Over-Me
My Best Friend's Girl,My-Best-Friend's-Girl,"Sep 19, 2008",2008,1143156,NO,YES,My-Best-Friend's-Girl
Georgia Rule,Georgia-Rule,"May 11, 2007",2007,7200756,NO,NO,Georgia-Rule
Under the Rainbow,Under-the-Rainbow,"Jul 31, 1981",1981,0083254,YES,YES,Under-the-Rainbow
Ladyhawke,Ladyhawke,"Apr 12, 1985",1985,0089457,YES,YES,Ladyhawke
Into the Wild,Into-the-Wild,"Sep 21, 2007",2007,0486946,YES,YES,Into-the-Wild
Simon Birch,Simon-Birch,"Sep 11, 1998",1998,6148706,NO,NO,Simon-Birch
Pooh's Heffalump Movie,Pooh's-Heffalump-Movie,"Feb 11, 2005",2005,0457437,NO,YES,Pooh's-Heffalump-Movie
School for Scoundrels,School-for-Scoundrels,"Sep 29, 2006",2006,2132792,NO,NO,School-for-Scoundrels
Silent Hill: Revelation 3D,Silent-Hill-Revelation-3D,"Oct 26, 2012",2012,0938330,YES,YES,Silent-Hill-Revelation-3D
Home for the Holidays,Home-for-the-Holidays,"Nov 3, 1995",1995,0113321,YES,YES,Home-for-the-Holidays
The Zookeeper's Wife,"Zookeeper's-Wife,-The","Mar 31, 2017",2017,6710784,NO,NO,"Zookeeper's-Wife,-The"
Fired Up,Fired-Up,"Feb 20, 2009",2009,1083456,YES,YES,Fired-Up
Kung Fu Hustle,Kung-Fu-Hustle,"Apr 8, 2005",2005,7353588,NO,NO,Kung-Fu-Hustle
The Country Bears,"Country-Bears,-The","Jul 26, 2002",2002,0651759,NO,NO,"Country-Bears,-The"
Dead Silence,Dead-Silence,"Mar 16, 2007",2007,0455760,YES,YES,Dead-Silence
21 Grams,21-Grams,"Nov 21, 2003",2003,2135284,NO,NO,21-Grams
Armored,Armored,"Dec 4, 2009",2009,1545180,NO,YES,Armored
The Kite Runner,"Kite-Runner,-The","Dec 14, 2007",2007,1158152,NO,NO,"Kite-Runner,-The"
Paparazzi,Paparazzi,"Sep 3, 2004",2004,1290406,NO,NO,Paparazzi
A Guy Thing,A-Guy-Thing,"Jan 17, 2003",2003,0457580,NO,NO,A-Guy-Thing
The Greatest Story Ever Told,"Greatest-Story-Ever-Told,-The","Feb 15, 1965",1965,0059245,NO,YES,"Greatest-Story-Ever-Told,-The"
Loser,Loser,"Jul 21, 2000",2000,1782532,NO,YES,Loser
Capitalism: A Love Story,Capitalism-A-Love-Story,"Sep 23, 2009",2009,2135142,NO,NO,Capitalism-A-Love-Story
Lockout,Lockout,"Apr 13, 2012",2012,2303578,NO,NO,Lockout
Disaster Movie,Disaster-Movie,"Aug 29, 2008",2008,3350232,NO,NO,Disaster-Movie
What's Your Number?,What's-Your-Number?,"Sep 30, 2011",2011,2075802,NO,YES,What's-Your-Number
The Man Who Knew Too Little,"Man-Who-Knew-Too-Little,-The","Nov 14, 1997",1997,6173400,NO,NO,"Man-Who-Knew-Too-Little,-The"
Crank 2: High Voltage,Crank-2-High-Voltage,"Apr 17, 2009",2009,1121931,YES,YES,Crank-2-High-Voltage
Burnt,Burnt,"Oct 30, 2015",2015,5618684,NO,NO,Burnt
Envy,Envy,"Apr 30, 2004",2004,0421232,NO,YES,Envy
One Night with the King,One-Night-with-the-King,"Oct 13, 2006",2006,3224774,NO,NO,One-Night-with-the-King
Bullets Over Broadway,Bullets-Over-Broadway,"Oct 21, 1994",1994,6143898,NO,NO,Bullets-Over-Broadway
Ghost Town,Ghost-Town,"Sep 19, 2008",2008,0970171,NO,NO,Ghost-Town
The Quiet American,"Quiet-American,-The","Nov 22, 2002",2002,6301136,NO,NO,"Quiet-American,-The"
Triple 9,Triple-9,"Feb 26, 2016",2016,5856804,NO,YES,Triple-9
The Light Between Oceans,"Light-Between-Oceans,-The","Sep 2, 2016",2016,6047460,NO,NO,"Light-Between-Oceans,-The"
The Weather Man,"Weather-Man,-The","Oct 28, 2005",2005,0384680,YES,YES,"Weather-Man,-The"
Undisputed,Undisputed,"Aug 23, 2002",2002,7322042,NO,NO,Undisputed
12 Rounds,12-Rounds,"Mar 27, 2009",2009,1562068,NO,YES,12-Rounds
Let Me In,Let-Me-In,"Oct 1, 2010",2010,2463840,NO,NO,Let-Me-In
3 Ninjas Kick Back,3-Ninjas-Kick-Back,"May 6, 1994",1994,6140738,NO,NO,3-Ninjas-Kick-Back
Be Kind Rewind,Be-Kind-Rewind,"Feb 22, 2008",2008,2398082,NO,YES,Be-Kind-Rewind
Mrs. Henderson Presents,Mrs.-Henderson-Presents,"Dec 9, 2005",2005,0413015,YES,YES,Mrs.-Henderson-Presents
Deconstructing Harry,Deconstructing-Harry,"Dec 12, 1997",1997,6173424,NO,NO,Deconstructing-Harry
Three to Tango,Three-to-Tango,"Oct 22, 1999",1999,0701661,NO,NO,Three-to-Tango
We're No Angels,We're-No-Angels,"Dec 15, 1989",1989,1659714,NO,YES,We're-No-Angels
Everyone Says I Love You,Everyone-Says-I-Love-You,"Dec 6, 1996",1996,6165804,NO,YES,Everyone-Says-I-Love-You
Death Sentence,Death-Sentence,"Aug 31, 2007",2007,1095951,NO,NO,Death-Sentence
Popstar: Never Stop Never Stopping,Popstar-Never-Stop-Never-Stopping,"Jun 3, 2016",2016,7241398,NO,YES,Popstar-Never-Stop-Never-Stopping
Thank You for Your Service,Thank-You-for-Your-Service,"Oct 27, 2017",2017,7448496,NO,YES,Thank-You-for-Your-Service
Everybody's Fine,Everybody's-Fine,"Dec 4, 2009",2009,1565905,NO,YES,Everybody's-Fine
Superbabies: Baby Geniuses 2,Superbabies-Baby-Geniuses-2,"Aug 27, 2004",2004,0270846,YES,YES,Superbabies-Baby-Geniuses-2
Battle of the Year,Battle-of-the-Year,"Sep 20, 2013",2013,3334718,NO,NO,Battle-of-the-Year
Ratchet and Clank,Ratchet-and-Clank,"Apr 29, 2016",2016,5666678,NO,NO,Ratchet-and-Clank
The Man,"Man,-The","Sep 9, 2005",2005,0352248,YES,YES,"Man,-The"
Code Name: The Cleaner,Code-Name-The-Cleaner,"Jan 5, 2007",2007,2135261,NO,NO,Code-Name-The-Cleaner
Inherent Vice,Inherent-Vice,"Dec 12, 2014",2014,4338990,NO,NO,Inherent-Vice
Connie & Carla,Connie-&-Carla,"Apr 16, 2004",2004,0345074,NO,YES,Connie-&-Carla
Machete Kills,Machete-Kills,"Oct 11, 2013",2013,6904900,NO,NO,Machete-Kills
Sweet Charity,Sweet-Charity,"Jan 1, 1969",1969,0065054,NO,YES,Sweet-Charity
Doogal,Doogal,"Feb 24, 2006",2006,0763304,NO,YES,Doogal
Proof,Proof,"Sep 16, 2005",2005,4538910,NO,NO,Proof
An American Carol,An-American-Carol,"Oct 3, 2008",2008,1657644,NO,NO,An-American-Carol
Willard,Willard,"Mar 14, 2003",2003,7331496,NO,NO,Willard
Strange Wilderness,Strange-Wilderness,"Feb 1, 2008",2008,3317618,NO,NO,Strange-Wilderness
Little Boy,Little-Boy,"Apr 24, 2015",2015,6481244,NO,YES,Little-Boy
Topsy Turvy,Topsy-Turvy,"Dec 17, 1999",1999,0151568,NO,YES,Topsy-Turvy
Chasing Mavericks,Chasing-Mavericks,"Oct 26, 2012",2012,3120622,NO,NO,Chasing-Mavericks
A Most Violent Year,A-Most-Violent-Year,"Dec 31, 2014",2014,2937898,YES,YES,A-Most-Violent-Year
A Dangerous Method,A-Dangerous-Method,"Nov 23, 2011",2011,7185528,NO,NO,A-Dangerous-Method
A Scanner Darkly,A-Scanner-Darkly,"Jul 7, 2006",2006,2135178,NO,NO,A-Scanner-Darkly
Bandslam,Bandslam,"Aug 14, 2009",2009,0976222,YES,YES,Bandslam
Alone in the Dark,Alone-in-the-Dark,"Jan 28, 2005",2005,0369226,YES,YES,Alone-in-the-Dark
Birth,Birth,"Oct 29, 2004",2004,0450993,NO,YES,Birth
Hands of Stone,Hands-of-Stone,"Aug 26, 2016",2016,7045102,NO,NO,Hands-of-Stone
Passchendaele,Passchendaele,"Oct 24, 2008",2008,1301184,NO,YES,Passchendaele
Flash of Genius,Flash-of-Genius,"Oct 3, 2008",2008,1657655,NO,NO,Flash-of-Genius
I'm Not There,I'm-Not-There,"Nov 21, 2007",2007,1149458,NO,YES,I'm-Not-There
The Cold Light of Day,"Cold-Light-of-Day,-The","Sep 7, 2012",2012,3008152,NO,NO,"Cold-Light-of-Day,-The"
The Brothers Bloom,"Brothers-Bloom,-The","May 15, 2009",2009,1470488,NO,YES,"Brothers-Bloom,-The"
"Synecdoche, New York","Synecdoche,-New-York","Oct 24, 2008",2008,0383028,YES,YES,"Synecdoche,-New-York"
Suspiria,Suspiria,"Oct 26, 2018",2018,8523788,NO,NO,Suspiria
LBJ,LBJ,"Nov 3, 2017",2017,7567640,NO,NO,LBJ
Mononoke-hime,Mononoke-hime,"Oct 29, 1999",1999,NO ID FOUND,NO,NO,Mononoke-hime
Bon Voyage,Bon-Voyage,"Mar 19, 2004",2004,NO ID FOUND,NO,NO,Bon-Voyage
My All-American,My-All-American,"Nov 13, 2015",2015,7047254,NO,NO,My-All-American
Can't Stop the Music,Can't-Stop-the-Music,"Jun 20, 1980",1980,0080492,YES,YES,Can't-Stop-the-Music
The Proposition,"Proposition,-The","May 5, 2006",2006,NO ID FOUND,NO,NO,"Proposition,-The"
Marci X,Marci-X,"Aug 22, 2003",2003,0266747,NO,YES,Marci-X
Equilibrium,Equilibrium,"Dec 6, 2002",2002,0238380,YES,YES,Equilibrium
Dylan Dog: Dead of Night,Dylan-Dog-Dead-of-Night,"Apr 29, 2011",2011,2135158,NO,NO,Dylan-Dog-Dead-of-Night
The Oogieloves in the BIG Balloon Adventure,"Oogieloves-in-the-BIG-Balloon-Adventure,-The","Aug 29, 2012",2012,3116240,NO,NO,"Oogieloves-in-the-BIG-Balloon-Adventure,-The"
The Children of Huang Shi,"Children-of-Huang-Shi,-The","May 23, 2008",2008,1503962,NO,NO,"Children-of-Huang-Shi,-The"
The Yards,"Yards,-The","Oct 20, 2000",2000,4136800,NO,NO,"Yards,-The"
Middle Men,Middle-Men,"Aug 6, 2010",2010,1537321,NO,YES,Middle-Men
JÃ¬yÃ¬ dÃ shÄ«,JÃ¬yÃ¬-dÃ shÄ«,"Apr 28, 2017",2017,NO ID FOUND,NO,NO,JÃ¬yÃ¬-dÃ shÄ«
All Good Things,All-Good-Things,"Dec 3, 2010",2010,1724779,NO,YES,All-Good-Things
By the Sea,By-the-Sea,"Nov 13, 2015",2015,1390411,YES,YES,By-the-Sea
Steamboy,Steamboy,"Mar 18, 2005",2005,7353578,NO,NO,Steamboy
The Game of Their Lives,"Game-of-Their-Lives,-The","Apr 22, 2005",2005,7353592,NO,NO,"Game-of-Their-Lives,-The"
Rapa Nui,Rapa-Nui,"Sep 11, 1994",1994,0283216,NO,NO,Rapa-Nui
The Tempest,"Tempest,-The","Dec 10, 2010",2010,2926728,NO,YES,"Tempest,-The"
é·æ±ä¸è (CJ7),é·æ±ä¸è-(CJ7),"Mar 7, 2008",2008,6402056,NO,YES,é·æ±ä¸è-(CJ7)
The Burning Plain,"Burning-Plain,-The","Sep 18, 2009",2009,1518754,NO,YES,"Burning-Plain,-The"
Les Couloirs du temps: Les visiteurs 2,Les-Couloirs-du-temps-Les-visiteurs-2,"Mar 27, 1998",1998,0120882,NO,YES,Les-Couloirs-du-temps-Les-visiteurs-2
People I Know,People-I-Know,"Apr 25, 2003",2003,7331512,NO,NO,People-I-Know
Regression,Regression,"Oct 30, 2015",2015,3776840,NO,YES,Regression
Admiral,Admiral,"Dec 31, 2008",2008,1369846,NO,NO,Admiral
Zambezia,Zambezia,"Dec 31, 2012",2012,1488181,NO,YES,Zambezia
Three Kingdoms: Resurrection of the Dragon,Three-Kingdoms-Resurrection-of-the-Dragon,"Apr 13, 2010",2010,NO ID FOUND,NO,NO,Three-Kingdoms-Resurrection-of-the-Dragon
The Touch,"Touch,-The","Mar 31, 2004",2004,0361256,NO,YES,"Touch,-The"
Survivor,Survivor,"May 29, 2015",2015,5241156,NO,YES,Survivor
The History of Love,"History-of-Love,-The","Nov 18, 2016",2016,7922704,NO,NO,"History-of-Love,-The"
Butterfly on a Wheel,Butterfly-on-a-Wheel,"Dec 25, 2007",2007,0489664,YES,YES,Butterfly-on-a-Wheel
Dwegons and Leprechauns,Dwegons-and-Leprechauns,"Aug 29, 2014",2014,1134666,NO,YES,Dwegons-and-Leprechauns
Fight Valley,Fight-Valley,"Jul 22, 2016",2016,4280822,NO,YES,Fight-Valley
The Thousand Miles,"Thousand-Miles,-The","Dec 31, 2017",2017,4688518,NO,YES,"Thousand-Miles,-The"
Bird Box,Bird-Box,"Dec 13, 2018",2018,9850238,NO,NO,Bird-Box
